08DRCAD-017 Palaeagapetus celsus
07HMCAD-0362 Ptilocolepus granulatus
KKCAD-0212 Nothotrichia cautinensis
KKCAD-0207 Celaenotrichia edwardsi
UMSP000031278 Anchitrichia duplifurcata
DRLp9 Leucotrichia pictipes
DRHa9a Hydroptila argosa
GBOL11616 Oxyethira flavicornis
RBCAD-1537 Agraylea multipunctata
KKCAD-0126 Anagapetus debilis
DRGlo9 Glossosoma oregonense
08DRCAD-065 Glossosoma nigrior
09HMCAD-0195 Agapetus delicatulus
12HMCAD-75 Synagapetus iridipennis
08OFCAD-0029 Agapetus pinatus
KKCAD-0165 Padunia lepnevae
KKCAD-0155 Mastigoptila ruizi
KKCAD-0163 Mortoniella KMK sp.
09MNKK0050 Mortoniella albolineata
KKCAD-0129 Cariboptila hispaniolica
KKCAD-0127 Cariboptila aurulenta
07PROBE-07178 Protoptila tenebrosa
KKCAD-0150 Itauara KMK sp. BR1
KKCAD-0191 Neopsilochorema tricarinatum
KKCAD-0186 Isochorema curvispinum
KKCAD-0173 Apatanodes sociatus
KKCAD-0196 Rheochorema tenuispinum
KKCAD-0185 Iguazu flavofuscum
MS1106 Koetonga clivicola
NZCAD755 Neurochorema forsteri
09MNKK0087 Microchorema extensum
JOS47 Ethochorema turbidum
KKCAD-0198 Stenochorema crassicostum
10OFCAD-545 Cailloma pumida
RBCAD-1619 Parachorema bifidum
RBCAD-1019 Metachorema griseum
NZ261 Hydrochorema crassicaudatum
KKCAD-0192 Neurochorema armstrongi
DQ485460 Xanthochorema bifurcatum
KKCAD-0194 Psilochorema mimicum
RBCAD-0980 Atopsyche callosa
KKCAD-0179 Austrochorema nama
08JPCAD-052 Costachorema callistum
10OFSI-0077 Edpercivalia thomasoni
KKCAD-0181 Clavichorema capillatum
08JPCAD-562 Pseudoeconesus bistirpis
08JPCAD-498 Oeconesus maori
KKCAD-0233 Kokiria miharo
FJ263235 Taskiropsyche lacustris
RBCAD-2343 Mecynostomella caledonia
KKCAD-0479 Silvatares ensifer
10DRCAD-077 Yphria californica
RBCAD-0528 Banksiola crotchi
KKCAD-0469 Agrypnia vestita
10HMCAD-280 Phryganea grandis
RBCAD-0542 Ptilostomis ocellifera
12HMCAD-8 Eubasilissa maclachlani
ARin-20100175 Semblis phalaenoides
KKCAD-0471 Hagenella sibirica
KKCAD-0453 Metacosmoecus nigrofasciatus
07HMCAD-0223 Allogamus auricollis
12HMCAD-092 Potamophylax cingulatus
RBCAD-0383 Chyranda centralis
10HMCAD-235 Ecclisopteryx guttulata
DREs9c Ecclisomyia maculosa
KKCAD-0245 Brachypsyche rara
KKCAD-0448 Hesperophylax designatus
08MBCAD-0079 Limnephilus externus
08OFCAD-0428 Allomyia gnathos
08OFCAD-0427 Allomyia cascadis
DRGo9 Goeracea oregona
08OFCAD-0437 Apatania zonella
ID-00408 Apatania majuscula
RBCAD-0196 Oligophlebodes minutus
KKCAD-0295 Sericostriata surdickae
DRFp9c Farula praelonga
HM09Ta8 Thremma anomalum
KKCAD-0231 Goerita semata
07-17PKS-0615 Goerita betteni
RBCAD-1513 Goera fuscula
KKCAD-0405 Silo nigricornis
07HMCAD-0341 Silo pallipes
08OFCAD-0262 Theliopsyche grisea
KKCAD-0239 Lepidostoma togatum
10HMCAD-472 Brachycentrus montanus
KKCAD-0227 Micrasema bactro
10HMCAD-465 Micrasema setiferum
08JPCAD-087 Phryganopsyche latipennis
KKCAD-0297 Atriplectides dubius
KKCAD-0315 Leptorussa darlingtoni
JOS173 Notalina fulva
RBCAD-2317 Notalina bifaria
FJ263239 Condocerus paludosus
NZCAD409 Hudsonema amabile
NZ235 Hudsonema cf. alienum
FN600998 Notoperata maculata
KKCAD-0328 Triplectidina moselyi
FN600950 Symphitoneuria clara
FN600949 Symphitoneuria triangulata
FN600990 Triplectidina nigricornis
09MNKK0179 Lectrides varians
FN601023 Symphitoneuria sabaensis
FN600979 Symphitoneuria opposita
RBCAD-1765 Triplectides jaffueli
RBCAD-1770 Triplectides nigripennis
09MNKK0228 Triplectides gonetalus
FN600947 Triplectides aequalichelatus
FN600948 Triplectides tigrinus
FN600988 Triplectides magnus
RBCAD-1304 Triplectides australis
JOS203 Triplectides volda
KKCAD-0309 Grumichella flaveola
FN601033 Atanatolica penai
RBCAD-0965 Atanatolica botosaneanui
EF428554 Triplexa villa
EF428548 Gracilipsodes grandis
EF428540 Gracilipsodes aureus
FN257702 Gracilipsodes psocopterus
FN601014 Leptocerus stephanei
FN600972 Leptocerus ousta
FN601012 Setodes flagellatus
FN601015 Tagalopsyche jolandae
10OFSI-0206 Mystacides niger
NZCAD909-78 Mystacides longicornis
FN601001 Sericodes sp. nhrs EE9
FN600973 Setodes bracteatus
FN600989 Trichosetodes sisypho
FN600986 Setodes bispinus
RBCAD-1932 Setodes incertus
FN601000 Achoropsyche duodecimpunctata
FN601009 Leptocerina spinigera
FN601005 Leptocerina ramosa
FN601026 Blyzophilus dorsohamatus
FN601006 Parasetodes sudanensis
FN600964 Parasetodes respersellus
RBCAD-1104 Nectopsyche argentata
RBCAD-1310 Nectopsyche punctata
FN600987 Ceraclea nankingensis
10HMCAD-286 Ceraclea dissimilis
10HMCAD-333 Athripsodes aterrimus
10HMCAD-427 Athripsodes cinereus
FN601008 Homilia lardeuxi
FN600996 Poecilopsyche vidura
FN600970 Brachysetodes bifurcatus
FN600969 Brachysetodes tripartitus
HMCAD0810-4 Adicella reducta
FN600960 Adicella sp. nhrs BS3
FN600999 Erotesis baltica
JSlk-20100206 Triaenodes detruncatus
FN601004 Triaenodes kwabena
07HMCAD-0238 Triaenodes bicolor
FN601024 Oecetis minasata
FN601013 Oecetis royi group sp. NHRS EG5
FN601003 Oecetis akimi
RBCAD-1172 Oecetis australis
08HMCAD-089 Oecetis lacustris
RBCAD-1592 Oecetis ochracea
FN601011 Ptochoecetis africana
10OFSI-0361 Phylloicus aeneus
HMCAD0111-85 Ganonema fuscipenne
12HMCAD-176 Anisocentropus pan
07HMCAD-0263 Molanna angustata
RBCAD-0512 Molanna uniophila
JSlk-2014F179 Molannodes tinctus
HMCAD1211-165 Odontocerum albicorne
RBCAD-1491 Austrheithrus ronewa
JOS348 Tasmanthrus angustipennis
KKCAD-0342 Philorheithrus lacustris
KKCAD-0426 Lannapsyche chantaramongkolae
KKCAD-0332 Barynema KMK sp.
KKCAD-0381 Rakiura vernale
KKCAD-0379 Helicopsyche albescens
KKCAD-0394 Petroplax caricis
KKCAD-0391 Notidobiella chacayana
12HMCAD-56 Sericostoma flavicorne
07HMCAD-0290 Notidobia nekibe
KKCAD-0361 Philanisus plebeius
KKCAD-0382 Hydrosalpinx sericea
EF395009 Helicopha amieuensis
RBCAD-1585 Eosericostoma inaequispinum
KKCAD-0376 Microthremma patagonicum
MS1190 Costora delora
NZT99 Olinga feredayi
10OFSI-0026 Pycnocentria evecta
10OFSI-0032 Pycnocentrodes aeris
10OFSI-0022 Confluens olingoides
KKCAD-0362 Beraeoptera roria
KKCAD-0363 Coenoria boera
RBCAD-0769 Myotrichia murina
KKCAD-0393 Parasericostoma peniai
KKCAD-0354 Barbarochthon brunneum
KKCAD-0383 Petrothrincus triangularis
KKCAD-0384 Petrothrincus circularis
MS1473 Antipodoecia
KKCAD-0349 Anomalopsyche minuta
12HMCAD-66 Beraeodes minutus
HMCAD1211-156 Ernodes articularis
09HMCAD-0260 Beraea maura
ARin-2014F142 Beraea pullata
09HMCAD-0144 Beraeamyia squamosa
KKCAD-0346 Tasimia denticulata
MDFRC_TR0077 Tasiagma ciliata
RBCAD-1716 Trichovespula macrocera
07HMCAD-0297 Limnocentropus himalayanus
HMCAD0810-175 Himalopsyche maitreya
KKCAD-0046 Rhyacophila dongkyapa
08HMCAD-074 Rhyacophila brunnea
RBCAD-0714 Rhyacophila atrata
10HMCAD-194 Rhyacophila vulgaris
HM09Rh22a Rhyacophila tristis
12HMCAD-015 Rhyacophila pubescens
KKCAD-0114 Xiphocentron KMK sp.
KKCAD-0106 Psychomyia pusilla
KKCAD-0108 Psychomyiella cruciata
08BKEPT-013 Lype diversa
08FLCAD-077 Phylocentropus placidus
FN179087 Protodipseudopsis sp. EI8
12HMCAD-153 Dipseudopsis varians
KKCAD-0438 Dipseudopsis capensis
10OFSI-0410 Austrotinodes angustior
FN179090 Psychomyiellodes excavatus
10HMCAD-430 Ecnomus tenellus
KKCAD-0063 Neucentropus mandjuricus
08OFCAD-1072 Nyctiophylax moestus
JSlk-20090085 Cyrnus flavidus
ARin-2014F017 Cyrnus insolutus
JSlk-2014F194 Holocentropus stagnalis
FinnCAD-049 Holocentropus picicornis
ARin-2014F014 Holocentropus dubius
10HMCAD-521 Plectrocnemia conspersa
10ESCAD-052 Plectrocnemia geniculata
09HMCAD-0111 Polycentropus irroratus
JQ239894 Polycentropus clarus
08OFCAD-1054 Cyrnellus fraternus
JQ239838 Cernotina sp. KAJ-2012
JQ239780 Polyplectropus tenerus
HMCAD1211-129 Pseudoneureclipsis philemon
KKCAD-0054 Antillopsyche demma
10OFCAD-051 Stenopsyche marmorata
09MNKK0383 Stenopsychodes aureoniger
07HMCAD-0299 Kisaura consagia
10HMCAD-181 Philopotamus montanus
RBCAD-0795 Dolophilodes distincta
08OFCAD-0864 Dolophilodes aequalis
RBCAD-2299 Chimarrhodella nigra
RBCAD-0784 Chimarrhodella ulmeri
RBCAD-0785 Chimarrhodella peruviana
RBCAD-2477 Chimarrhodella pilcopata
08HMCAD-227 Chimarra oreithyia
KKCAD-0018 Chimarra tsudai
08HMCAD-241 Chimarra spinifera
HMCAD1211-77 Chimarra lannaensis
08HMCAD-247 Chimarra suadulla
07HMCAD-0274 Chimarra joliveti
08HMCAD-246 Chimarra pipake
HMCAD1211-126 Chimarra bimbltona
08HMCAD-245 Chimarra chiangmaiensis
RBCAD-1701 Chimarra neboissi
JQ239807 Chimarra marginata
RBCAD-0558 Chimarra ambulans
