ProcessID,HaplotypeID
GBMH4484-08,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH4483-08,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH1776-06,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH1762-06,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH1759-06,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH1757-06,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH1755-06,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH1750-06,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH1725-06,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH1720-06,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH1718-06,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH1716-06,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH1715-06,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH1712-06,Hydrobiosidae_Xanthochorema_caledon_1[14]
GBMH4466-08,Hydrobiosidae_Xanthochorema_caledon_2[7]
GBMH4465-08,Hydrobiosidae_Xanthochorema_caledon_2[7]
GBMH4464-08,Hydrobiosidae_Xanthochorema_caledon_2[7]
GBMH4463-08,Hydrobiosidae_Xanthochorema_caledon_2[7]
GBMH4462-08,Hydrobiosidae_Xanthochorema_caledon_2[7]
GBMH4460-08,Hydrobiosidae_Xanthochorema_caledon_2[7]
GBMH4458-08,Hydrobiosidae_Xanthochorema_caledon_2[7]
GBMH4459-08,Hydrobiosidae_Xanthochorema_caledon_3[5]
GBMH4457-08,Hydrobiosidae_Xanthochorema_caledon_3[5]
GBMH4456-08,Hydrobiosidae_Xanthochorema_caledon_3[5]
GBMH4455-08,Hydrobiosidae_Xanthochorema_caledon_3[5]
GBMH4454-08,Hydrobiosidae_Xanthochorema_caledon_3[5]
GBMH1754-06,Hydrobiosidae_Xanthochorema_caledon_4[2]
GBMH1740-06,Hydrobiosidae_Xanthochorema_caledon_4[2]
GBMH1717-06,Hydrobiosidae_Xanthochorema_caledon_5[2]
GBMH1711-06,Hydrobiosidae_Xanthochorema_caledon_5[2]
GBMH1736-06,Hydrobiosidae_Xanthochorema_caledon_6[1]
GBMH4475-08,Hydrobiosidae_Xanthochorema_caledon_7[1]
GBMH1745-06,Hydrobiosidae_Xanthochorema_caledon_8[1]
GBMH1743-06,Hydrobiosidae_Xanthochorema_caledon_9[1]
GBMH1739-06,Hydrobiosidae_Xanthochorema_caledon_10[1]
GBMH1732-06,Hydrobiosidae_Xanthochorema_caledon_11[1]
GBMH1714-06,Hydrobiosidae_Xanthochorema_caledon_12[1]
GBMH1741-06,Hydrobiosidae_Xanthochorema_caledon_13[1]
GBMH1713-06,Hydrobiosidae_Xanthochorema_caledon_14[1]
GBMH4461-08,Hydrobiosidae_Xanthochorema_caledon_15[1]
GBMH1769-06,Hydrobiosidae_Xanthochorema_caledon_16[1]
HMCAD597-09,Psychomyiidae_Tinodes_sylvia_1[1]Italy
SCAMI020-12,Rhyacophilidae_Rhyacophila_invaria_1[3]PA
SCAMI014-12,Rhyacophilidae_Rhyacophila_invaria_1[3]PA
SCAMI008-12,Rhyacophilidae_Rhyacophila_invaria_1[3]PA
PKCAD687-08,Rhyacophilidae_Rhyacophila_invaria_2[1]Newfoundland and Labrador
MDA349-08,Rhyacophilidae_Rhyacophila_invaria_3[1]VA
KKCAD208-07,Hydropsychidae_Amphipsyche_proluta_1[1]Russia.Primorsky Krai
CNCAD239-07,Hydropsychidae_Amphipsyche_proluta_2[1]China.Hunan
CNCAD241-07,Hydropsychidae_Amphipsyche_proluta_3[1]China.Hunan
HMKKT897-11,Lepidostomatidae_Lepidostoma_diehli_1[1]Indonesia
TRHGO380-10,Glossosomatidae_Culoptila_1[1]Mexico
GBMIN35663-13,Leptoceridae_Triplectides_tigrinus_1[1]
VAQT853-10,Hydropsychidae_Cheumatopsyche_sp._GC1_1[7]Australia.Queensland
VAQT849-10,Hydropsychidae_Cheumatopsyche_sp._GC1_1[7]Australia.Queensland
VAQT847-10,Hydropsychidae_Cheumatopsyche_sp._GC1_1[7]Australia.Queensland
VAQT1117-10,Hydropsychidae_Cheumatopsyche_sp._GC1_1[7]Australia.Queensland
VAQT1116-10,Hydropsychidae_Cheumatopsyche_sp._GC1_1[7]Australia.Queensland
VAQT1115-10,Hydropsychidae_Cheumatopsyche_sp._GC1_1[7]Australia.Queensland
VAQT1114-10,Hydropsychidae_Cheumatopsyche_sp._GC1_1[7]Australia.Queensland
HMKKT127-10,Limnephilidae_Drusus_monticola_1[2]Austria
HMCAD404-09,Limnephilidae_Drusus_monticola_1[2]Austria
KJTRI099-13,Limnephilidae_Drusus_monticola_2[1]Austria
GBA17300-14,Leptoceridae_Triplectides_misakianus_1[1]Japan
DRCGT029-09,Leptoceridae_Oecetis_cf._vulgata_1[1]Democratic Republic of the Congo
CJCAD004-07,Hydropsychidae_Trichomacronema_CJG_sp._VT1_1[1]Vietnam
NECAD510-08,Uenoidae_Neophylax_etnieri_1[1]TN
NECAD511-08,Uenoidae_Neophylax_etnieri_2[1]TN
NECAD509-08,Uenoidae_Neophylax_etnieri_3[1]TN
PKCAD773-08,Uenoidae_Neophylax_etnieri_4[1]TN
NECAD512-08,Uenoidae_Neophylax_etnieri_5[1]TN
UMCHM048-09,Philopotamidae_Chimarra_n._sp._3_1[1]Venezuela
CNCAD375-07,Hydropsychidae_Macrostemum_fastosum_1[6]China.Guangdong
CNCAD041-07,Hydropsychidae_Macrostemum_fastosum_1[6]China.Guangdong
CNCAD040-07,Hydropsychidae_Macrostemum_fastosum_1[6]China.Guangdong
CNCAD038-07,Hydropsychidae_Macrostemum_fastosum_1[6]China.Guangdong
CNCAD037-07,Hydropsychidae_Macrostemum_fastosum_1[6]China.Guangdong
CNCAD039-07,Hydropsychidae_Macrostemum_fastosum_1[6]China.Guangdong
HMTRI014-08,Hydropsychidae_Macrostemum_fastosum_2[4]Thailand
HMCAD594-09,Hydropsychidae_Macrostemum_fastosum_2[4]Thailand
