Process ID	Sample ID
BIT077-04	FAMU-29-1
BIT078-04	FAMU-29-2
XAE260-04	Moth4260.03
XAD199-04	04HBL007199
NZCAD001-05	NZT1
NZCAD002-05	NZT2
NZCAD003-05	NZT3
NZCAD004-05	NZT4
NZCAD005-05	NZT5
NZCAD006-05	NZT6
NZCAD007-05	NZT7
NZCAD008-05	NZT8
NZCAD009-05	NZT9
NZCAD010-05	NZT10
NZCAD011-05	NZT11
NZCAD012-05	NZT12
NZCAD013-05	NZT13
NZCAD014-05	NZT14
NZCAD015-05	NZT15
NZCAD016-05	NZT16
NZCAD017-05	NZT17
NZCAD018-05	NZT18
NZCAD019-05	NZT19
NZCAD020-05	NZT20
NZCAD021-05	NZT21
NZCAD022-05	NZT22
NZCAD023-05	NZT23
NZCAD024-05	NZT24
NZCAD025-05	NZT25
NZCAD026-05	NZT26
NZCAD027-05	NZT27
NZCAD028-05	NZT28
NZCAD029-05	NZT29
NZCAD030-05	NZT30
NZCAD031-05	NZT31
NZCAD033-05	NZT33
NZCAD034-05	NZT34
NZCAD035-05	NZT35
NZCAD037-05	NZT37
NZCAD038-05	NZT38
NZCAD039-05	NZT39
NZCAD040-05	NZT40
NZCAD041-05	NZT41
NZCAD042-05	NZT42
NZCAD043-05	NZT43
NZCAD044-05	NZT44
NZCAD045-05	NZT45
NZCAD046-05	NZT46
NZCAD048-05	NZT48
NZCAD049-05	NZT49
NZCAD050-05	NZT50
NZCAD051-05	NZT51
NZCAD052-05	NZT52
NZCAD053-05	NZT53
NZCAD054-05	NZT54
NZCAD055-05	NZT55
NZCAD056-05	NZT56
NZCAD057-05	NZT57
NZCAD058-05	NZT58
NZCAD059-05	NZT59
NZCAD060-05	NZT60
NZCAD061-05	NZT61
NZCAD062-05	NZT62
NZCAD064-05	NZT64
NZCAD065-05	NZT65
NZCAD066-05	NZT66
NZCAD067-05	NZT67
NZCAD068-05	NZT68
NZCAD069-05	NZT69
NZCAD070-05	NZT70
NZCAD071-05	NZT71
NZCAD072-05	NZT72
NZCAD073-05	NZT73
NZCAD074-05	NZT74
NZCAD075-05	NZT75
NZCAD077-05	NZT77
NZCAD087-05	NZT87
NZCAD088-05	NZT88
NZCAD089-05	NZT89
NZCAD090-05	NZT90
NZCAD091-05	NZT91
NZCAD095-05	NZT95
NZCAD096-05	NZT96
NZCAD097-05	NZT97
NZCAD099-05	NZT99
NZCAD100-05	NZT100
NZCAD101-05	NZT101
NZCAD102-05	NZT102
NZCAD105-05	NZT105
NZCAD106-05	NZT106
NZCAD107-05	NZT107
NZCAD108-05	NZT108
NZCAD109-05	NZT109
NZCAD110-05	NZT110
NZCAD111-05	NZT111
NZCAD112-05	NZT112
NZCAD113-05	NZT113
NZCAD114-05	NZT114
NZCAD115-05	NZT115
NZCAD116-05	NZT116
NZCAD117-05	NZT117
NZCAD118-05	NZT118
NZCAD119-05	NZT119
NZCAD120-05	NZT120
NZCAD121-05	NZT121
NZCAD122-05	NZT122
NZCAD123-05	NZT123
NZCAD124-05	NZT124
NZCAD125-05	NZT125
NZCAD126-05	NZT126
NZCAD127-05	NZT127
NZCAD128-05	NZT128
NZCAD129-05	NZT129
NZCAD130-05	NZT130
NZCAD131-05	NZT131
NZCAD132-05	NZT132
NZCAD133-05	NZT133
NZCAD134-05	NZT134
NZCAD135-05	NZT135
NZCAD136-05	NZT136
NZCAD137-05	NZT137
NZCAD138-05	NZT138
NZCAD139-05	NZT139
NZCAD140-05	NZT140
BIT112-05	FAMU-29-6
BIT113-05	FAMU-29-7
BIT116-05	FAMU-29-10
BIT117-05	FAMU-29-11
COC001-05	HLC-10495
COC002-05	HLC-10496
COC003-05	HLC-10497
COC004-05	HLC-10498
COC005-05	HLC-10499
COC006-05	HLC-10500
COC007-05	HLC-10501
COC008-05	HLC-10502
COC009-05	HLC-10503
COC010-05	HLC-10504
COC011-05	HLC-10505
COC012-05	HLC-10506
COC013-05	HLC-10507
COC014-05	HLC-10508
COC015-05	HLC-10509
COC016-05	HLC-10510
COC017-05	HLC-10511
COC018-05	HLC-10512
COC019-05	HLC-10513
COC020-05	HLC-10514
COC021-05	HLC-10515
COC022-05	HLC-10516
COC023-05	HLC-10517
COC024-05	HLC-10518
COC025-05	HLC-10519
COC026-05	HLC-10520
COC027-05	HLC-10521
COC028-05	HLC-10522
COC029-05	HLC-10523
COC030-05	HLC-10524
COC031-05	HLC-10525
COC032-05	HLC-10526
COC033-05	HLC-10527
COC034-05	HLC-10528
COC035-05	HLC-10529
COC036-05	HLC-10530
COC037-05	HLC-10531
COC038-05	HLC-10532
COC039-05	HLC-10533
COC040-05	HLC-10534
COC041-05	HLC-10535
COC042-05	HLC-10536
COC043-05	HLC-10537
COC044-05	HLC-10538
COC045-05	HLC-10539
COC046-05	HLC-10540
COC047-05	HLC-10541
COC048-05	HLC-10542
COC049-05	HLC-10543
COC050-05	HLC-10544
COC051-05	HLC-10545
COC052-05	HLC-10546
