Process ID	Country/Ocean	State/Province
BIT077-04	United States	Florida
BIT078-04	United States	Florida
XAE260-04	Canada	Ontario
XAD199-04	Canada	Ontario
NZCAD001-05	New Zealand	
NZCAD002-05	New Zealand	
NZCAD003-05	New Zealand	
NZCAD004-05	New Zealand	
NZCAD005-05	New Zealand	
NZCAD006-05	New Zealand	
NZCAD007-05	New Zealand	
NZCAD008-05	New Zealand	
NZCAD009-05	New Zealand	
NZCAD010-05	New Zealand	
NZCAD011-05	New Zealand	
NZCAD012-05	New Zealand	
NZCAD013-05	New Zealand	
NZCAD014-05	New Zealand	
NZCAD015-05	New Zealand	
NZCAD016-05	New Zealand	
NZCAD017-05	New Zealand	
NZCAD018-05	New Zealand	
NZCAD019-05	New Zealand	
NZCAD020-05	New Zealand	
NZCAD021-05	New Zealand	
NZCAD022-05	New Zealand	
NZCAD023-05	New Zealand	
NZCAD024-05	New Zealand	
NZCAD025-05	New Zealand	
NZCAD026-05	New Zealand	
NZCAD027-05	New Zealand	
NZCAD028-05	New Zealand	
NZCAD029-05	New Zealand	
NZCAD030-05	New Zealand	
NZCAD031-05	New Zealand	
NZCAD033-05	New Zealand	
NZCAD034-05	New Zealand	
NZCAD035-05	New Zealand	
NZCAD037-05	New Zealand	
NZCAD038-05	New Zealand	
NZCAD039-05	New Zealand	
NZCAD040-05	New Zealand	
NZCAD041-05	New Zealand	
NZCAD042-05	New Zealand	
NZCAD043-05	New Zealand	
NZCAD044-05	New Zealand	
NZCAD045-05	New Zealand	
NZCAD046-05	New Zealand	
NZCAD048-05	New Zealand	
NZCAD049-05	New Zealand	
NZCAD050-05	New Zealand	
NZCAD051-05	New Zealand	
NZCAD052-05	New Zealand	
NZCAD053-05	New Zealand	
NZCAD054-05	New Zealand	
NZCAD055-05	New Zealand	
NZCAD056-05	New Zealand	
NZCAD057-05	New Zealand	
NZCAD058-05	New Zealand	
NZCAD059-05	New Zealand	
NZCAD060-05	New Zealand	
NZCAD061-05	New Zealand	
NZCAD062-05	New Zealand	
NZCAD064-05	New Zealand	
NZCAD065-05	New Zealand	
NZCAD066-05	New Zealand	
NZCAD067-05	New Zealand	
NZCAD068-05	New Zealand	
NZCAD069-05	New Zealand	
NZCAD070-05	New Zealand	
NZCAD071-05	New Zealand	
NZCAD072-05	New Zealand	
NZCAD073-05	New Zealand	
NZCAD074-05	New Zealand	
NZCAD075-05	New Zealand	
NZCAD077-05	New Zealand	
NZCAD087-05	New Zealand	
NZCAD088-05	New Zealand	
NZCAD089-05	New Zealand	
NZCAD090-05	New Zealand	
NZCAD091-05	New Zealand	
NZCAD095-05	New Zealand	
NZCAD096-05	New Zealand	
NZCAD097-05	New Zealand	
NZCAD099-05	New Zealand	
NZCAD100-05	New Zealand	
NZCAD101-05	New Zealand	
NZCAD102-05	New Zealand	
NZCAD105-05	New Zealand	
NZCAD106-05	New Zealand	
NZCAD107-05	New Zealand	
NZCAD108-05	New Zealand	
NZCAD109-05	New Zealand	
NZCAD110-05	New Zealand	
NZCAD111-05	New Zealand	
NZCAD112-05	New Zealand	
NZCAD113-05	New Zealand	
NZCAD114-05	New Zealand	
NZCAD115-05	New Zealand	
NZCAD116-05	New Zealand	
NZCAD117-05	New Zealand	
NZCAD118-05	New Zealand	
NZCAD119-05	New Zealand	
NZCAD120-05	New Zealand	
NZCAD121-05	New Zealand	
NZCAD122-05	New Zealand	
NZCAD123-05	New Zealand	
NZCAD124-05	New Zealand	
NZCAD125-05	New Zealand	
NZCAD126-05	New Zealand	
NZCAD127-05	New Zealand	
NZCAD128-05	New Zealand	
NZCAD129-05	New Zealand	
NZCAD130-05	New Zealand	
NZCAD131-05	New Zealand	
NZCAD132-05	New Zealand	
NZCAD133-05	New Zealand	
NZCAD134-05	New Zealand	
NZCAD135-05	New Zealand	
NZCAD136-05	New Zealand	
NZCAD137-05	New Zealand	
NZCAD138-05	New Zealand	
NZCAD139-05	New Zealand	
NZCAD140-05	New Zealand	
BIT112-05	United States	Florida
BIT113-05	United States	Florida
BIT116-05	United States	Florida
BIT117-05	United States	Florida
COC001-05	Canada	Manitoba
COC002-05	Canada	Manitoba
COC003-05	Canada	Manitoba
COC004-05	Canada	Manitoba
COC005-05	Canada	Manitoba
COC006-05	Canada	Manitoba
COC007-05	Canada	Manitoba
COC008-05	Canada	Manitoba
COC009-05	Canada	Manitoba
COC010-05	Canada	Manitoba
COC011-05	Canada	Manitoba
COC012-05	Canada	Manitoba
COC013-05	Canada	Manitoba
COC014-05	Canada	Manitoba
COC015-05	Canada	Manitoba
COC016-05	Canada	Manitoba
COC017-05	Canada	Manitoba
COC018-05	Canada	Manitoba
COC019-05	Canada	Manitoba
COC020-05	Canada	Manitoba
COC021-05	Canada	Manitoba
COC022-05	Canada	Manitoba
COC023-05	Canada	Manitoba
COC024-05	Canada	Manitoba
COC025-05	Canada	Manitoba
COC026-05	Canada	Manitoba
COC027-05	Canada	Manitoba
COC028-05	Canada	Manitoba
COC029-05	Canada	Manitoba
COC030-05	Canada	Manitoba
COC031-05	Canada	Manitoba
COC032-05	Canada	Manitoba
COC033-05	Canada	Manitoba
COC034-05	Canada	Manitoba
COC035-05	Canada	Manitoba
COC036-05	Canada	Manitoba
COC037-05	Canada	Manitoba
COC038-05	Canada	Manitoba
COC039-05	Canada	Manitoba
COC040-05	Canada	Manitoba
COC041-05	Canada	Manitoba
COC042-05	Canada	Manitoba
COC043-05	Canada	Manitoba
COC044-05	Canada	Manitoba
COC045-05	Canada	Manitoba
COC046-05	Canada	Manitoba
COC047-05	Canada	Manitoba
COC048-05	Canada	Manitoba
COC049-05	Canada	Manitoba
COC050-05	Canada	Manitoba
COC051-05	Canada	Manitoba
COC052-05	Canada	Manitoba
COC053-05	Canada	Manitoba
COC054-05	Canada	Manitoba
COC055-05	Canada	Manitoba
COC056-05	Canada	Manitoba
COC057-05	Canada	Manitoba
COC058-05	Canada	Manitoba
COC059-05	Canada	Manitoba
COC060-05	Canada	Manitoba
COC061-05	Canada	Manitoba
COC062-05	Canada	Manitoba
COC063-05	Canada	Manitoba
COC064-05	Canada	Manitoba
COC065-05	Canada	Manitoba
COC066-05	Canada	Manitoba
COC067-05	Canada	Manitoba
COC068-05	Canada	Manitoba
COC069-05	Canada	Manitoba
COC070-05	Canada	Manitoba
COC071-05	Canada	Manitoba
COC072-05	Canada	Manitoba
COC073-05	Canada	Manitoba
COC074-05	Canada	Manitoba
COC075-05	Canada	Manitoba
COC077-05	Canada	Manitoba
COC078-05	Canada	Manitoba
COC079-05	Canada	Manitoba
COC080-05	Canada	Manitoba
COC081-05	Canada	Manitoba
COC082-05	Canada	Manitoba
COC083-05	Canada	Manitoba
COC084-05	Canada	Manitoba
COC086-05	Canada	Manitoba
COC087-05	Canada	Manitoba
COC088-05	Canada	Manitoba
COC089-05	Canada	Manitoba
COC090-05	Canada	Manitoba
COC092-05	Canada	Manitoba
COC093-05	Canada	Manitoba
LNSWA639-05	Australia	New South Wales
LNSWC011-06	Australia	New South Wales
DSTRI001-06	Canada	Manitoba
DSTRI002-06	Canada	Manitoba
DSTRI003-06	Canada	Manitoba
DSTRI004-06	Canada	Manitoba
DSTRI005-06	Canada	Manitoba
DSTRI006-06	Canada	Manitoba
DSTRI007-06	Canada	Manitoba
DSTRI008-06	Canada	Manitoba
DSTRI009-06	Canada	Manitoba
DSTRI010-06	Canada	Manitoba
DSTRI011-06	Canada	Manitoba
DSTRI012-06	Canada	Manitoba
DSTRI013-06	Canada	Manitoba
DSTRI014-06	Canada	Manitoba
DSTRI015-06	Canada	Manitoba
DSTRI016-06	Canada	Manitoba
DSTRI017-06	Canada	Manitoba
DSTRI018-06	Canada	Manitoba
DSTRI020-06	Canada	Manitoba
DSTRI021-06	Canada	Manitoba
DSTRI022-06	Canada	Manitoba
DSTRI023-06	Canada	Manitoba
DSTRI024-06	Canada	Manitoba
DSTRI025-06	Canada	Manitoba
DSTRI026-06	Canada	Manitoba
DSTRI027-06	Canada	Manitoba
DSTRI028-06	Canada	Manitoba
DSTRI029-06	Canada	Manitoba
DSTRI031-06	Canada	Manitoba
DSTRI032-06	Canada	Manitoba
DSTRI033-06	Canada	Manitoba
DSTRI034-06	Canada	Manitoba
DSTRI035-06	Canada	Manitoba
DSTRI036-06	Canada	Manitoba
DSTRI037-06	Canada	Manitoba
DSTRI039-06	Canada	Manitoba
DSTRI040-06	Canada	Manitoba
DSTRI042-06	Canada	Manitoba
DSTRI043-06	Canada	Manitoba
DSTRI047-06	Canada	Manitoba
DSTRI048-06	Canada	Manitoba
DSTRI049-06	Canada	Manitoba
DSTRI050-06	Canada	Manitoba
DSTRI051-06	Canada	Manitoba
DSTRI052-06	Canada	Manitoba
DSTRI053-06	Canada	Manitoba
DSTRI054-06	Canada	Manitoba
DSTRI055-06	Canada	Manitoba
DSTRI056-06	Canada	Manitoba
DSTRI057-06	Canada	Manitoba
DSTRI058-06	Canada	Manitoba
DSTRI059-06	Canada	Manitoba
DSTRI060-06	Canada	Manitoba
DSTRI061-06	Canada	Manitoba
DSTRI062-06	Canada	Manitoba
DSTRI064-06	Canada	Manitoba
DSTRI065-06	Canada	Manitoba
DSTRI067-06	Canada	Manitoba
DSTRI068-06	Canada	Manitoba
DSTRI069-06	Canada	Manitoba
DSTRI070-06	Canada	Manitoba
DSTRI073-06	Canada	Manitoba
DSTRI074-06	Canada	Manitoba
DSTRI075-06	Canada	Manitoba
DSTRI076-06	Canada	Manitoba
DSTRI077-06	Canada	Manitoba
DSTRI078-06	Canada	Manitoba
DSTRI079-06	Canada	Manitoba
DSTRI080-06	Canada	Manitoba
DSTRI081-06	Canada	Manitoba
DSTRI082-06	Canada	Manitoba
DSTRI083-06	Canada	Manitoba
DSTRI084-06	Canada	Manitoba
DSTRI085-06	Canada	Manitoba
DSTRI086-06	Canada	Manitoba
