ProcessID,HaplotypeID
HMKKT469-10,Brachycentrus montanus_1[1]Austria
FBCAD004-10,Brachycentrus montanus_2[1]Germany
HMKKT192-10,Brachycentrus montanus_3[1]Austria
FBAQU347-09,Brachycentrus montanus_4[1]Germany
HMKKT472-10,Brachycentrus montanus_5[1]Austria
HMKKT470-10,Brachycentrus montanus_6[1]Austria
HMKKT471-10,Brachycentrus montanus_7[1]Austria
JPTRI040-10,Brachycentrus kuwayamai_1[1]Japan
JPTRI041-10,Brachycentrus kuwayamai_2[1]Japan
JPTRI007-09,Micrasema akagiap_1[2]Japan
JPTRI004-09,Micrasema akagiap_1[2]Japan
JPTRI003-09,Micrasema akagiap_2[1]Japan
JPTRI005-09,Micrasema akagiap_3[1]Japan
JPTRI006-09,Micrasema akagiap_4[1]Japan
JPTRI081-10,Micrasema akagiae_1[1]Japan
JPTRI082-10,Micrasema akagiae_2[1]Japan
OFTRI003-10,Micrasema akagiae_3[1]Japan
HMKKT766-10,Brachycentrus kozlovi_1[1]China.
KKUMN460-10,Micrasema vestitum_1[1]Spain
DRCAD316-09,Brachycentrus appalachia_1[3]NY
DRCAD314-09,Brachycentrus appalachia_1[3]NY
DRCAD312-09,Brachycentrus appalachia_1[3]NY
DRCAD313-09,Brachycentrus appalachia_2[1]NY
DRCAD315-09,Brachycentrus appalachia_3[1]NY
KKUMN423-10,Micrasema servatum_1[2]Spain
KKUMN422-10,Micrasema servatum_1[2]Spain
HMKKT655-10,Micrasema servatum_2[1]Portugal
CZCAD089-10,Micrasema servatum_3[1]Spain
CZCAD090-10,Micrasema servatum_4[1]Spain
HMTRI019-08,Brachycentrus maculatus_1[2]Austria
HMCAD432-09,Brachycentrus maculatus_1[2]Austria
FBAQU004-09,Brachycentrus maculatus_2[1]Germany
AMIC105-07,Micrasema_1[1]MD
AMIB198-08,Micrasema_2[1]MD
AMIB017-07,Micrasema_3[1]MD
SWRCB110-08,Micrasema_4[1]PA
NZTRI108-09,Oeconesus maori_1[1]New Zealand
RMCAD135-08,Amiocentrus aspilus_1[4]CA
RMCAD136-08,Amiocentrus aspilus_1[4]CA
OFCAD064-08,Amiocentrus aspilus_1[4]CA
RMCAD137-08,Amiocentrus aspilus_1[4]CA
RMCAD138-08,Amiocentrus aspilus_2[1]AB
OFCAD063-08,Amiocentrus aspilus_3[1]CA
CSUTR175-10,Amiocentrus aspilus_4[1]WY
OFCAD062-08,Amiocentrus aspilus_5[1]SD
CSUTR174-10,Amiocentrus aspilus_6[1]WY
CSUTR172-10,Amiocentrus aspilus_7[1]WY
CSUTR173-10,Amiocentrus aspilus_8[1]WY
KKUMN022-10,Amiocentrus aspilus_9[1]ID
JPCAD017-08,Micrasema hanasense_1[4]Japan
JPCAD016-08,Micrasema hanasense_1[4]Japan
JPCAD012-08,Micrasema hanasense_1[4]Japan
JPCAD011-08,Micrasema hanasense_1[4]Japan
JPCAD015-08,Micrasema hanasense_2[1]Japan
JPCAD014-08,Micrasema hanasense_3[1]Japan
JPCAD013-08,Micrasema hanasense_4[1]Japan
KKCAD460-07,Silvatares ensifer_1[1]South Africa
PKCAD767-08,Brachycentrus spinae_1[1]NC
OFCAD079-08,Brachycentrus spinae_2[1]TN
CUTLV196-09,Limnephilus infernalis_1[1]MB
CNTLV086-09,Micrasema XZ sp. CN1_1[1]China.Yunnan
UMNEB675-08,Eobrachycentrus kitayamanus_1[1]Japan
KKNEA012-09,Goereilla baumanni_1[1]ID
CUCAD092-07,Banksiola crotchi_1[1]MB
OFCAD103-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
OFCAD102-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI699-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI696-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI694-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI601-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI597-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI596-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI595-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI594-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI593-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI591-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI519-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI260-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI258-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI257-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
NBTRI254-08,Micrasema rusticum_1[97]KY|MN|NB|ON|VA
