ProcessID,HaplotypeID
UMNEB012-08,Banyallarga sylvana_1[1]Costa Rica
OFXZT061-10,Banyallarga sylvana_2[1]Costa Rica
KKUMN031-10,Phylloicus spinulacolis_1[1]Venezuela
OFXZT002-10,Phylloicus fenestratus_1[1]Guyana
OFXZT003-10,Phylloicus fenestratus_2[1]Peru
OFXZT004-10,Phylloicus fenestratus_3[1]Brazil.Roraima
OFXZT001-10,Phylloicus fenestratus_4[1]Brazil.Para
HMKKT693-10,Calamoceras marsupus_1[1]Portugal
KKCAD483-09,Calamoceras marsupus_2[1]Morocco
OFXZT089-10,Phylloicus elegans_1[1]Costa Rica
OFXZT090-10,Phylloicus elegans_2[1]Costa Rica
JPCAD018-08,Ganonema nigripenne_1[1]Japan
KKUMN032-10,Phylloicus trichothylax_1[1]Colombia
AVMTT038-09,Leptocerus americanus_1[1]QC
UMNEB009-08,Banyallarga testacea_1[1]Venezuela
UMNEB003-08,Anisocentropus bicoloratus_1[2]Australia.New South Wales|Australia.Queensland
LTUT123-11,Anisocentropus bicoloratus_1[2]Australia.New South Wales|Australia.Queensland
LTUT007-11,Anisocentropus bicoloratus_2[1]Australia.New South Wales
LTUT008-11,Anisocentropus bicoloratus_3[1]Australia.Victoria
UMNEB002-08,Anisocentropus bicoloratus_4[1]Australia.New South Wales
AMISD120-08,Heteroplectron_1[1]MD
AMISA247-08,Heteroplectron_2[1]MD
OFXZT021-10,Phylloicus pulchrus_1[1]Puerto Rico
OFXZT023-10,Phylloicus pulchrus_2[1]Dominican Republic
OFXZT022-10,Phylloicus pulchrus_3[1]Dominican Republic
OFXZT024-10,Phylloicus pulchrus_4[1]Dominican Republic
CSUTR247-10,Phylloicus ornatus_1[1]TX
CSUTR246-10,Phylloicus ornatus_2[1]Costa Rica
OFXZT062-10,Banyallarga vicaria_1[1]Venezuela
UMNEB010-08,Banyallarga vicaria_2[1]Venezuela
KKUMN015-10,Banyallarga vicaria_3[1]Colombia
KJCAD005-08,Caloca saneva_1[1]Australia.Tasmania
SOCAD016-10,Anisocentropus_1[1]Nigeria
INCAD040-10,Anisocentropus_2[1]Indonesia
SOCAD034-10,Anisocentropus_3[1]Nigeria
LTUT010-11,Anisocentropus_4[1]Australia.New South Wales
LTUT114-11,Anisocentropus_5[1]Australia.New South Wales
LTUT107-11,Anisocentropus_6[1]Australia.New South Wales
LTUT181-11,Anisocentropus_7[1]Australia.Queensland
LTUT182-11,Anisocentropus_8[1]Australia.Queensland
KKUMN009-10,Phylloicus major_1[1]Brazil.Sao Paulo
HMCAD624-09,Beraea maura_1[1]Italy
HMCAD297-08,Limnocentropus himalayanus_1[1]Bhutan
LTUT009-11,Anisocentropus kirramus_1[1]Australia.Queensland
UMNEB004-08,Anisocentropus kirramus_2[1]Australia.Queensland
