ProcessID,HaplotypeID
INCAD269-10,Goera CJG sp. IN1_1[3]Indonesia
INCAD079-10,Goera CJG sp. IN1_1[3]Indonesia
INCAD032-10,Goera CJG sp. IN1_1[3]Indonesia
INCAD143-10,Goera CJG sp. IN1_2[1]Indonesia
NECAD099-08,Goera archaon_1[1]OR
UMNEA032-08,Goera archaon_2[1]OR
RUSST390-12,Goera horni_1[2]Russia.Primorye
RUSST184-12,Goera horni_1[2]Russia.Primorye
RUSST272-12,Goera horni_2[2]Russia.Primorye
RUSST115-12,Goera horni_2[2]Russia.Primorye
RUSST242-12,Goera horni_3[1]Russia.Primorye
RUSST328-12,Goera horni_4[1]Russia.Primorye
RUSST125-12,Goera horni_5[1]Russia.Primorye
RUSST104-12,Goera horni_6[1]Russia.Primorye
RUSST377-12,Goera horni_7[1]Russia.Primorye
RUSST203-12,Goera horni_8[1]Russia.Primorye
OFCAD173-08,Lepania cascada_1[1]BC
JPTRI058-10,Uenoa tokunagai_1[1]Japan
NECAD100-08,Goera sp._1[1]TN
NECAD101-08,Goera sp._2[1]TN
SMTRI013-10,Goera cf. fuscula_1[1]NC
TWCAD016-08,Goera tenuis_1[1]Taiwan
RMCAD548-08,Pedomoecus sierra_1[1]OR
MBCAD338-08,Nemotaulius hostilis_1[1]MB
AMIA253-08,Goera_1[1]MD
RUSST360-12,Goera_2[1]Russia.Primorye
RUSST366-12,Goera_3[1]Russia.Primorye
RUSST230-12,Goera_4[1]Russia.Primorye
AMISA166-08,Goera_5[1]MD
HMKKT874-11,Gastrocentrides sumatranus_1[1]Indonesia
CZCAD019-10,Thremma gallicum_1[1]Spain
TRIFI239-10,Apatania dalecarlica_1[1]Estonia
KKNEA022-09,Goereilla baumanni_1[1]ID
HMCAD309-08,Goera pilosa_1[4]Austria|Germany
HMCAD308-08,Goera pilosa_1[4]Austria|Germany
HMCAD307-08,Goera pilosa_1[4]Austria|Germany
FBCAD020-10,Goera pilosa_1[4]Austria|Germany
TRIFI599-11,Goera pilosa_2[2]Finland
TRIFI598-11,Goera pilosa_2[2]Finland
FBCAD019-10,Goera pilosa_3[1]Germany
FBAQU260-09,Goera pilosa_4[1]Germany
KKCAD443-07,Goera pilosa_5[1]Austria
