ProcessID,HaplotypeID
HMCAD297-08,Limnocentropus himalayanus_1[1]Bhutan
GBMH0372-06,Cochliopsyche vasquezi_1[1]
NZCAD051-05,Helicopsyche albescens_1[2]New Zealand
KKCAD334-07,Helicopsyche albescens_1[2]New Zealand
GBMH2598-07,Helicopsyche albescens_2[1]
OFTRI050-10,Helicopsyche albescens_3[1]New Zealand
OFXZT215-10,Helicopsyche maculisternum_1[1]Trinidad and Tobago
KKCAD328-07,Barbarochthon brunneum_1[1]South Africa
UMNEB332-08,Helicopsyche fistulata_1[1]Colombia
UMNEB351-08,Helicopsyche fistulata_2[1]Venezuela
OFXZT233-10,Helicopsyche ramosi_1[2]Puerto Rico
OFXZT232-10,Helicopsyche ramosi_1[2]Puerto Rico
OFXZT234-10,Helicopsyche ramosi_2[1]Puerto Rico
OFTRI015-10,Chathamia integripennis_1[1]New Zealand
GBMH2589-07,Helicopsyche cochleaetesta_1[1]
OFXZT221-10,Helicopsyche minima_1[1]Puerto Rico
DRCAD139-09,Helicopsyche DR sp. 3_1[3]Mexico
DRCAD138-09,Helicopsyche DR sp. 3_1[3]Mexico
DRCAD137-09,Helicopsyche DR sp. 3_1[3]Mexico
DRCAD131-09,Helicopsyche DR sp. 1_1[4]Mexico
DRCAD129-09,Helicopsyche DR sp. 1_1[4]Mexico
DRCAD128-09,Helicopsyche DR sp. 1_1[4]Mexico
DRCAD127-09,Helicopsyche DR sp. 1_1[4]Mexico
DRCAD130-09,Helicopsyche DR sp. 1_2[1]Mexico
DRCAD145-09,Helicopsyche DR sp. 4_1[6]Mexico
DRCAD144-09,Helicopsyche DR sp. 4_1[6]Mexico
DRCAD143-09,Helicopsyche DR sp. 4_1[6]Mexico
DRCAD142-09,Helicopsyche DR sp. 4_1[6]Mexico
DRCAD141-09,Helicopsyche DR sp. 4_1[6]Mexico
DRCAD140-09,Helicopsyche DR sp. 4_1[6]Mexico
KKCAD366-07,Petrothrincus triangularis_1[1]South Africa
UMNEB358-08,Helicopsyche incisa_1[1]Venezuela
OFXZT235-10,Helicopsyche rentzi_1[1]Costa Rica
UMNEO095-09,Cochliopsyche opalescens_1[1]Brazil.Minas Gerais
OFTRI056-10,Helicopsyche zealandica_1[1]New Zealand
