ProcessID,HaplotypeID
UMNEB392-08,Plectropsyche hoogstraali_1[1]Costa Rica
CJCAD034-07,Plectropsyche hoogstraali_2[1]Costa Rica
CNCAD436-07,Hydropsyche formosana B_1[6]China.Guangdong|China.Guangxi|China.Jiangxi
CNCAD322-07,Hydropsyche formosana B_1[6]China.Guangdong|China.Guangxi|China.Jiangxi
CNCAD321-07,Hydropsyche formosana B_1[6]China.Guangdong|China.Guangxi|China.Jiangxi
CNCAD255-07,Hydropsyche formosana B_1[6]China.Guangdong|China.Guangxi|China.Jiangxi
CNCAD237-07,Hydropsyche formosana B_1[6]China.Guangdong|China.Guangxi|China.Jiangxi
CNCAD029-07,Hydropsyche formosana B_1[6]China.Guangdong|China.Guangxi|China.Jiangxi
UMNEB608-08,Cheumatopsyche alampeta_1[1]Australia.Tasmania
UMNEB607-08,Cheumatopsyche alampeta_2[1]Australia.New South Wales
UMNEB605-08,Cheumatopsyche alampeta_3[1]Australia.Australian Capital Territory
BDRTR046-12,Hydropsyche abella_1[1]WA
BDRTR045-12,Hydropsyche abella_2[1]WA
CNCAD461-07,Hydropsyche compressa_1[3]China.Yunnan
CNCAD460-07,Hydropsyche compressa_1[3]China.Yunnan
CNCAD459-07,Hydropsyche compressa_1[3]China.Yunnan
CNCAD160-07,Hydropsyche compressa_2[1]China.Yunnan
CNCAD345-07,Hydropsyche compressa_3[1]China.Sichuan
MGCAD146-08,Hydropsyche newae_1[11]Japan|Mongolia
MGCAD144-08,Hydropsyche newae_1[11]Japan|Mongolia
MGCAD143-08,Hydropsyche newae_1[11]Japan|Mongolia
MGCAD139-08,Hydropsyche newae_1[11]Japan|Mongolia
JPCAD432-08,Hydropsyche newae_1[11]Japan|Mongolia
JPCAD431-08,Hydropsyche newae_1[11]Japan|Mongolia
JPCAD430-08,Hydropsyche newae_1[11]Japan|Mongolia
MGCAD141-08,Hydropsyche newae_1[11]Japan|Mongolia
MGCAD145-08,Hydropsyche newae_1[11]Japan|Mongolia
MGCAD142-08,Hydropsyche newae_1[11]Japan|Mongolia
MGCAD140-08,Hydropsyche newae_1[11]Japan|Mongolia
CNCAD028-07,Hydropsyche quadrata B_1[1]China.Jiangxi
CNCAD306-07,Hydropsyche quadrata B_2[1]China.Jiangxi
CNCAD307-07,Hydropsyche quadrata B_3[1]China.Jiangxi
CNCAD474-07,Hydropsyche quadrata B_4[1]China.Guangdong
BHMKK120-12,Cheumatopsyche carna_1[1]Thailand
HMTRI409-09,Cheumatopsyche carna_2[1]Thailand
DRCAD473-10,Hydropsyche amblis_1[3]WA
DRCAD472-10,Hydropsyche amblis_1[3]WA
DRCAD471-10,Hydropsyche amblis_1[3]WA
DRCAD494-10,Hydropsyche amblis_2[3]WA
DRCAD492-10,Hydropsyche amblis_2[3]WA
DRCAD490-10,Hydropsyche amblis_2[3]WA
DRCAD495-10,Hydropsyche amblis_3[3]WA
DRCAD491-10,Hydropsyche amblis_3[3]WA
DRCAD036-08,Hydropsyche amblis_3[3]WA
DRCAD460-10,Hydropsyche amblis_4[2]CA
DRCAD459-10,Hydropsyche amblis_4[2]CA
NECAD601-08,Hydropsyche amblis_5[2]WA
DRCAD493-10,Hydropsyche amblis_5[2]WA
NECAD603-08,Hydropsyche amblis_6[1]WA
DRCAD035-08,Hydropsyche amblis_7[1]WA
DRCAD033-08,Hydropsyche amblis_8[1]WA
DRCAD034-08,Hydropsyche amblis_9[1]WA
OFXZT540-11,Streptopsyche parander_1[1]Dominican Republic
OFXZT541-11,Streptopsyche parander_2[1]Dominican Republic
OFXZT542-11,Streptopsyche parander_3[1]Dominican Republic
OFXZT539-11,Streptopsyche parander_4[1]Dominican Republic
UMNEB368-08,Cheumatopsyche marieni_1[1]South Africa
CNCAD324-07,Hydropsyche tetrachotoma_1[1]China.Sichuan
CNCAD325-07,Hydropsyche tetrachotoma_2[1]China.Sichuan
CNCAD465-07,Hydropsyche simulata_1[6]China.Guangdong|China.Guangxi|China.Jiangxi
CNCAD440-07,Hydropsyche simulata_1[6]China.Guangdong|China.Guangxi|China.Jiangxi
CNCAD179-07,Hydropsyche simulata_1[6]China.Guangdong|China.Guangxi|China.Jiangxi
CNCAD086-07,Hydropsyche simulata_1[6]China.Guangdong|China.Guangxi|China.Jiangxi
