ProcessID,HaplotypeID
KKCAD163-07,Cariboptila hispaniolica_1[1]Dominican Republic
OFXZT108-10,Cariboptila hispaniolica_2[1]Dominican Republic
OFXZT107-10,Cariboptila hispaniolica_3[1]Dominican Republic
OFXZT109-10,Cariboptila hispaniolica_4[1]Dominican Republic
KKUMN050-10,Mortoniella albolineata_1[1]Brazil.Santa Catarina
RTCAD001-10,Rhyacopsyche andina_1[1]Venezuela
OFTRI446-10,Rhyacopsyche andina_2[1]Peru
OFTRI625-10,Rhyacopsyche andina_3[1]Colombia
DRCAD523-10,Ochrotrichia rothi_1[1]AZ
DRCAD515-10,Ochrotrichia rothi_2[1]AZ
LBCG2657-09,Oxyethira serrata_1[2]BC
LBCG2656-09,Oxyethira serrata_1[2]BC
LPMNB067-09,Oxyethira serrata_2[1]MB
LBCG054-08,Oxyethira serrata_3[1]BC
ELPYO199-08,Oxyethira serrata_4[1]ON
LPSOB122-08,Oxyethira serrata_5[1]ON
UMNEC304-08,Oxyethira serrata_6[1]MN
UMNEC303-08,Oxyethira serrata_7[1]MN
UMCHM273-10,Mortoniella n. sp. 11 BR_1[2]Brazil.Sao Paulo
UMCHM271-10,Mortoniella n. sp. 11 BR_1[2]Brazil.Sao Paulo
DRCAD579-10,Hydroptila autonoe_1[1]Portugal
HMTRI449-09,Catagapetus nigrans_1[2]Italy
HMCAD287-08,Catagapetus nigrans_1[2]Italy
HMKKT731-10,Catagapetus nigrans_2[1]Italy
KKCAD480-07,Catagapetus nigrans_3[1]
HMKKT785-10,Catagapetus nigrans_4[1]Italy
INCAD224-10,Agapetus CJG sp. IN2_1[9]Indonesia
INCAD223-10,Agapetus CJG sp. IN2_1[9]Indonesia
INCAD222-10,Agapetus CJG sp. IN2_1[9]Indonesia
INCAD213-10,Agapetus CJG sp. IN2_1[9]Indonesia
INCAD211-10,Agapetus CJG sp. IN2_1[9]Indonesia
INCAD159-10,Agapetus CJG sp. IN2_1[9]Indonesia
INCAD158-10,Agapetus CJG sp. IN2_1[9]Indonesia
INCAD128-10,Agapetus CJG sp. IN2_1[9]Indonesia
INCAD160-10,Agapetus CJG sp. IN2_1[9]Indonesia
DRCAD437-10,Glossosoma DER sp1_1[1]CA
OFTRI635-10,Metrichia longispina_1[1]Dominican Republic
MGCAD064-08,Agapetus SC sp. MG1_1[2]Mongolia
MGCAD065-08,Agapetus SC sp. MG1_1[2]Mongolia
CAUTR098-09,Agapetus SC sp. MG1_2[1]China.Liaoning
OFTRI624-10,Rhyacopsyche colei_1[2]Venezuela
OFTRI623-10,Rhyacopsyche colei_1[2]Venezuela
NECAD089-08,Protoptila georgiana_1[2]VA
NECAD088-08,Protoptila georgiana_1[2]VA
NECAD090-08,Protoptila georgiana_2[1]MD
NECAD091-08,Protoptila georgiana_3[1]MD
MDA099-08,Protoptila georgiana_4[1]VA
OFXZT159-10,Mortoniella wygodzinskii_1[1]Ecuador
KKUMN065-10,Mortoniella wygodzinskii_2[1]Venezuela
MGCAD068-08,Agapetus jakutorum_1[1]Mongolia
KKCAD130-07,Mortoniella KMK sp. BL2_1[1]Bolivia
OFXZT132-10,Mastigoptila curvicornuta_1[1]Chile
RUSST363-12,Hydroptila botosaneanui_1[1]Russia.Primorye
RUSST371-12,Hydroptila botosaneanui_2[1]Russia.Primorye
UMNEC109-08,Hydroptila xera_1[4]MN
UMNEC107-08,Hydroptila xera_1[4]MN
UMNEC108-08,Hydroptila xera_1[4]MN
UMNEC106-08,Hydroptila xera_1[4]MN
UMNEC104-08,Hydroptila xera_2[1]MN
GBMH7851-10,Hydroptila simulans_1[1]
TRIFI645-12,Hydroptila simulans_2[1]Finland
HMKKT214-10,Hydroptila simulans_3[1]Austria
TRIFI648-12,Hydroptila simulans_4[1]Finland
TRIFI644-12,Hydroptila simulans_5[1]Finland
TRIFI643-12,Hydroptila simulans_6[1]Finland
MPBZT014-09,Dibusa XZ sp. BZ1_1[1]Bolivia
RUSST276-12,Hydroptilidae_1[2]Russia.Primorye
RUSST275-12,Hydroptilidae_1[2]Russia.Primorye
INCAD137-10,Hydroptilidae_2[1]Indonesia
INCAD203-10,Hydroptilidae_3[1]Indonesia
INCAD124-10,Hydroptilidae_4[1]Indonesia
INCAD123-10,Hydroptilidae_5[1]Indonesia
SWRCC219-09,Hydroptilidae_6[1]PA
RUSST101-12,Hydroptilidae_7[1]Russia.Primorye
INCAD074-10,Hydroptilidae_8[1]Indonesia
RUSST129-12,Hydroptilidae_9[1]Russia.Primorye
RUSST119-12,Hydroptilidae_10[1]Russia.Primorye
KHCAD113-12,Hydroptilidae_11[1]New Zealand
LOQTH060-10,Hydroptilidae_12[1]Australia.Queensland
RUSST178-12,Hydroptilidae_13[1]Russia.Primorye
RUSST253-12,Hydroptilidae_14[1]Russia.Primorye
MPBZT009-09,Hydroptilidae_15[1]Brazil.Minas Gerais
RUSST097-12,Hydroptilidae_16[1]Russia.Primorye
DRCAD557-10,Metrichia arizonensis_1[1]AZ
DRCAD366-10,Hydroptila arctia_1[2]AZ|WA
DRCAD526-10,Hydroptila arctia_1[2]AZ|WA
DRCAD295-09,Hydroptila arctia_2[2]WA
DRCAD293-09,Hydroptila arctia_2[2]WA
DRCAD292-09,Hydroptila arctia_3[2]WA
DRCAD294-09,Hydroptila arctia_3[2]WA
DRCAD525-10,Hydroptila arctia_4[1]AZ
GBMH0337-06,Byrsopteryx gomezi_1[1]
KKCAD204-07,Byrsopteryx gomezi_2[1]Costa Rica
ONCAD410-08,Hydroptila spatulata_1[14]IL|MB|ON
ONCAD403-08,Hydroptila spatulata_1[14]IL|MB|ON
ONCAD400-08,Hydroptila spatulata_1[14]IL|MB|ON
ONCAD396-08,Hydroptila spatulata_1[14]IL|MB|ON
ELPYO607-09,Hydroptila spatulata_1[14]IL|MB|ON
ELPYO605-09,Hydroptila spatulata_1[14]IL|MB|ON
CUCAD779-08,Hydroptila spatulata_1[14]IL|MB|ON
ONCAD414-08,Hydroptila spatulata_1[14]IL|MB|ON
ONCAD412-08,Hydroptila spatulata_1[14]IL|MB|ON
INHST349-09,Hydroptila spatulata_1[14]IL|MB|ON
ONCAD404-08,Hydroptila spatulata_1[14]IL|MB|ON
