ProcessID,HaplotypeID
MDA110-08,Lepidostoma sommermanae_1[1]VA
UMNEB319-08,Lepidostoma polylepidum_1[1]Costa Rica
OFTRI617-10,Lepidostoma polylepidum_2[1]Costa Rica
KKUMN162-10,Lepidostoma polylepidum_3[1]Costa Rica
TRHGO384-10,Lepidostoma_1[41]Mexico
TRHGO265-10,Lepidostoma_1[41]Mexico
TRHGO098-10,Lepidostoma_1[41]Mexico
TRHGO364-10,Lepidostoma_1[41]Mexico
TRHGO361-10,Lepidostoma_1[41]Mexico
TRHGO345-10,Lepidostoma_1[41]Mexico
TRHGO331-10,Lepidostoma_1[41]Mexico
TRHGO322-10,Lepidostoma_1[41]Mexico
TRHGO319-10,Lepidostoma_1[41]Mexico
TRHGO314-10,Lepidostoma_1[41]Mexico
TRHGO312-10,Lepidostoma_1[41]Mexico
TRHGO174-10,Lepidostoma_1[41]Mexico
TRHGO173-10,Lepidostoma_1[41]Mexico
TRHGO172-10,Lepidostoma_1[41]Mexico
TRHGO170-10,Lepidostoma_1[41]Mexico
TRHGO169-10,Lepidostoma_1[41]Mexico
TRHGO167-10,Lepidostoma_1[41]Mexico
TRHGO166-10,Lepidostoma_1[41]Mexico
TRHGO165-10,Lepidostoma_1[41]Mexico
TRHGO142-10,Lepidostoma_1[41]Mexico
TRHGO141-10,Lepidostoma_1[41]Mexico
TRHGO137-10,Lepidostoma_1[41]Mexico
TRHGO135-10,Lepidostoma_1[41]Mexico
TRHGO105-10,Lepidostoma_1[41]Mexico
TRHGO057-10,Lepidostoma_1[41]Mexico
TRHGO056-10,Lepidostoma_1[41]Mexico
TRHGO051-10,Lepidostoma_1[41]Mexico
TRHGO050-10,Lepidostoma_1[41]Mexico
TRHGO042-10,Lepidostoma_1[41]Mexico
TRHGO041-10,Lepidostoma_1[41]Mexico
TRHGO039-10,Lepidostoma_1[41]Mexico
TRHGO037-10,Lepidostoma_1[41]Mexico
TRHGO035-10,Lepidostoma_1[41]Mexico
TRHGO031-10,Lepidostoma_1[41]Mexico
TRHGO030-10,Lepidostoma_1[41]Mexico
TRHGO028-10,Lepidostoma_1[41]Mexico
TRHGO026-10,Lepidostoma_1[41]Mexico
TRHGO020-10,Lepidostoma_1[41]Mexico
TRHGO018-10,Lepidostoma_1[41]Mexico
TRHGO012-10,Lepidostoma_1[41]Mexico
TRHGO006-10,Lepidostoma_1[41]Mexico
TRHGO649-10,Lepidostoma_2[31]Mexico
TRHGO648-10,Lepidostoma_2[31]Mexico
TRHGO616-10,Lepidostoma_2[31]Mexico
TRHGO606-10,Lepidostoma_2[31]Mexico
TRHGO595-10,Lepidostoma_2[31]Mexico
