ProcessID,HaplotypeID
OFTRI600-10,Nectopsyche cubana_1[2]Dominican Republic
UMNEO159-09,Nectopsyche cubana_1[2]Dominican Republic
UMNEA150-08,Nectopsyche cubana_2[2]Dominican Republic
OFTRI603-10,Nectopsyche cubana_2[2]Dominican Republic
OFTRI601-10,Nectopsyche cubana_3[1]Puerto Rico
INCAD175-10,Setodes_1[1]Indonesia
INCAD049-10,Setodes_2[1]Indonesia
INCAD234-10,Setodes_3[1]Indonesia
FLCAD142-09,Oecetis parva_1[1]FL
UMNEB136-08,Brachysetodes forcipatus_1[2]Chile
UMNEB139-08,Brachysetodes forcipatus_1[2]Chile
UMNEB137-08,Brachysetodes forcipatus_2[1]Chile
UMNEB138-08,Brachysetodes forcipatus_3[1]Chile
MBCAD187-08,Ceraclea alagma_1[29]AB|MB
MBCAD185-08,Ceraclea alagma_1[29]AB|MB
MBCAD179-08,Ceraclea alagma_1[29]AB|MB
MBCAD164-08,Ceraclea alagma_1[29]AB|MB
MBCAD161-08,Ceraclea alagma_1[29]AB|MB
MBCAD160-08,Ceraclea alagma_1[29]AB|MB
MBCAD159-08,Ceraclea alagma_1[29]AB|MB
MBCAD112-08,Ceraclea alagma_1[29]AB|MB
MBCAD100-08,Ceraclea alagma_1[29]AB|MB
MBCAD073-08,Ceraclea alagma_1[29]AB|MB
MBCAD065-08,Ceraclea alagma_1[29]AB|MB
MBCAD056-08,Ceraclea alagma_1[29]AB|MB
MBCAD053-08,Ceraclea alagma_1[29]AB|MB
MBCAD047-08,Ceraclea alagma_1[29]AB|MB
MBCAD038-08,Ceraclea alagma_1[29]AB|MB
MBCAD032-08,Ceraclea alagma_1[29]AB|MB
MBCAD027-08,Ceraclea alagma_1[29]AB|MB
MBCAD025-08,Ceraclea alagma_1[29]AB|MB
MBCAD023-08,Ceraclea alagma_1[29]AB|MB
MBCAD020-08,Ceraclea alagma_1[29]AB|MB
MBCAD017-08,Ceraclea alagma_1[29]AB|MB
MBCAD014-08,Ceraclea alagma_1[29]AB|MB
MBCAD009-08,Ceraclea alagma_1[29]AB|MB
ABCAD183-08,Ceraclea alagma_1[29]AB|MB
MBCAD015-08,Ceraclea alagma_1[29]AB|MB
MBCAD218-08,Ceraclea alagma_1[29]AB|MB
MBCAD202-08,Ceraclea alagma_1[29]AB|MB
MBCAD186-08,Ceraclea alagma_1[29]AB|MB
MBCAD026-08,Ceraclea alagma_1[29]AB|MB
MBCAD197-08,Ceraclea alagma_2[14]MB
MBCAD196-08,Ceraclea alagma_2[14]MB
MBCAD075-08,Ceraclea alagma_2[14]MB
MBCAD064-08,Ceraclea alagma_2[14]MB
MBCAD063-08,Ceraclea alagma_2[14]MB
MBCAD051-08,Ceraclea alagma_2[14]MB
MBCAD049-08,Ceraclea alagma_2[14]MB
MBCAD039-08,Ceraclea alagma_2[14]MB
MBCAD035-08,Ceraclea alagma_2[14]MB
MBCAD028-08,Ceraclea alagma_2[14]MB
MBCAD016-08,Ceraclea alagma_2[14]MB
MBCAD013-08,Ceraclea alagma_2[14]MB
MBCAD012-08,Ceraclea alagma_2[14]MB
MBCAD003-08,Ceraclea alagma_2[14]MB
OFCAD286-08,Ceraclea alagma_3[2]ON
OFCAD287-08,Ceraclea alagma_3[2]ON
MDA289-08,Ceraclea alagma_4[1]ON
UMNEC019-08,Ceraclea alagma_5[1]MN
RMCAD381-08,Ceraclea alagma_6[1]MT
UMNEC017-08,Ceraclea alagma_7[1]MN
MBCAD194-08,Ceraclea alagma_8[1]MB
MBCAD061-08,Ceraclea alagma_9[1]MB
MBCAD059-08,Ceraclea alagma_10[1]MB
UMNEA117-08,Ceraclea alagma_11[1]MN
UMNEA120-08,Ceraclea alagma_12[1]MN
UMNEC018-08,Ceraclea alagma_13[1]MN
UMNEA118-08,Ceraclea alagma_14[1]MN
UMNEB731-08,Ceraclea alagma_15[1]MN
MBCAD046-08,Ceraclea alagma_16[1]MB
MBCAD045-08,Ceraclea alagma_17[1]MB
MBCAD090-08,Ceraclea alagma_18[1]MB
NECAD650-08,Ceraclea alagma_19[1]WA
ABCAD100-08,Ceraclea alagma_20[1]AB
UMNEA119-08,Ceraclea alagma_21[1]MN
MBCAD005-08,Ceraclea alagma_22[1]MB
UMNEB258-08,Setodes baccatus_1[1]Ghana
DRCGT118-10,Triaenodes contartus_1[1]Democratic Republic of the Congo
MGCAD195-08,Ceraclea globosa_1[1]Mongolia
MGCAD194-08,Ceraclea globosa_2[1]Mongolia
LTUT146-11,Triaenodes voldus_1[2]Australia.New South Wales
LTUT145-11,Triaenodes voldus_1[2]Australia.New South Wales
OFTRI420-10,Nectopsyche maculipennis_1[1]Peru
HMTRI043-08,Setodes sugdeni_1[1]United Arab Emirates
GBMH4252-08,Gracilipsodes aureus_1[1]
GBMH4246-08,Gracilipsodes aureus_2[1]
UMNEB241-08,Brachysetodes major_1[4]Chile
UMNEB142-08,Brachysetodes major_1[4]Chile
UMNEB141-08,Brachysetodes major_1[4]Chile
UMNEB140-08,Brachysetodes major_1[4]Chile
KKCAD324-07,Brachysetodes major_2[1]Chile
CAUTR035-09,Mystacides dentatus_1[3]China.Beijing Shi
CAUTR034-09,Mystacides dentatus_1[3]China.Beijing Shi
CAUTR033-09,Mystacides dentatus_1[3]China.Beijing Shi
CAUTR071-09,Mystacides dentatus_2[2]China.Liaoning
CAUTR072-09,Mystacides dentatus_2[2]China.Liaoning
CAUTR032-09,Mystacides dentatus_3[1]China.Beijing Shi
MGCAD252-08,Setodes punctatus_1[4]Mongolia
MGCAD250-08,Setodes punctatus_1[4]Mongolia
MGCAD248-08,Setodes punctatus_1[4]Mongolia
MGCAD253-08,Setodes punctatus_1[4]Mongolia
MGCAD254-08,Setodes punctatus_2[3]Mongolia
MGCAD249-08,Setodes punctatus_2[3]Mongolia
MGCAD251-08,Setodes punctatus_2[3]Mongolia
TRIFI676-12,Setodes punctatus_3[3]Finland|Spain
TRIFI675-12,Setodes punctatus_3[3]Finland|Spain
KKUMN401-10,Setodes punctatus_3[3]Finland|Spain
FBAQU113-09,Setodes punctatus_4[1]Germany
UMNEB214-08,Nectopsyche punctata_1[2]Colombia|Venezuela
UMNEB215-08,Nectopsyche punctata_1[2]Colombia|Venezuela
UMNEB210-08,Nectopsyche punctata_2[1]Costa Rica
UMNEB383-08,Nectopsyche punctata_3[1]Costa Rica
UMNEB209-08,Nectopsyche punctata_4[1]Costa Rica
UMNEO190-09,Nectopsyche punctata_5[1]Brazil.Sao Paulo
UMNEO189-09,Nectopsyche punctata_6[1]Brazil.Minas Gerais
UMNEB213-08,Nectopsyche punctata_7[1]Venezuela
UMNEB212-08,Nectopsyche punctata_8[1]Venezuela
UMNEB217-08,Nectopsyche punctata_9[1]Bolivia
UMNEB216-08,Nectopsyche punctata_10[1]Bolivia
UMNEB211-08,Nectopsyche punctata_11[1]Costa Rica
HMTRI153-08,Adicella cremisa_1[4]Italy
HMTRI152-08,Adicella cremisa_1[4]Italy
