ProcessID,HaplotypeID
OFTRI258-10,Nothopsyche nigripes_1[1]South Korea
OFTRI259-10,Nothopsyche nigripes_2[1]South Korea
BDRTR047-12,Limnephilus rhea_1[1]WA
HMTRI191-09,Stenophylax malaspina_1[1]Lebanon
PDCAD081-08,Chaetopteryx sp._1[1]Poland
PDCAD071-08,Chaetopteryx sp._2[1]Poland
BDRTR040-12,Homophylax sp._1[1]WA
DRCAD456-10,Homophylax sp._2[1]CO
JPTRI035-10,Asynarchus sachalinensis_1[3]Japan
JPTRI034-10,Asynarchus sachalinensis_1[3]Japan
JPCAD245-08,Asynarchus sachalinensis_1[3]Japan
JPCAD242-08,Asynarchus sachalinensis_2[1]Japan
JPCAD243-08,Asynarchus sachalinensis_3[1]Japan
JPCAD241-08,Asynarchus sachalinensis_4[1]Japan
JPCAD240-08,Asynarchus sachalinensis_5[1]Japan
JPCAD244-08,Asynarchus sachalinensis_6[1]Japan
HGCAD026-10,Chaetopteryx marinkovicae_1[5]Croatia
HGCAD025-10,Chaetopteryx marinkovicae_1[5]Croatia
HGCAD024-10,Chaetopteryx marinkovicae_1[5]Croatia
HGCAD023-10,Chaetopteryx marinkovicae_1[5]Croatia
HGCAD022-10,Chaetopteryx marinkovicae_1[5]Croatia
HIMXD209-10,Pycnopsyche sp._1[3]NC
HIMXD207-10,Pycnopsyche sp._1[3]NC
HIMXD206-10,Pycnopsyche sp._1[3]NC
CSUTR048-10,Asynarchus nigriculus_1[2]WY
CSUTR045-10,Asynarchus nigriculus_1[2]WY
CSUTR049-10,Asynarchus nigriculus_2[2]CO
OFCAD510-08,Asynarchus nigriculus_2[2]CO
CSUTR047-10,Asynarchus nigriculus_3[1]CO
CSUTR046-10,Asynarchus nigriculus_4[1]WY
OFCAD512-08,Asynarchus nigriculus_5[1]CO
OFCAD509-08,Asynarchus nigriculus_6[1]WY
OFCAD511-08,Asynarchus nigriculus_7[1]CO
IQCAD079-09,Halesus CJGsp  IQ1_1[5]Iraq
IQCAD083-09,Halesus CJGsp  IQ1_1[5]Iraq
IQCAD082-09,Halesus CJGsp  IQ1_1[5]Iraq
IQCAD080-09,Halesus CJGsp  IQ1_1[5]Iraq
IQCAD085-09,Halesus CJGsp  IQ1_1[5]Iraq
IQCAD081-09,Halesus CJGsp  IQ1_2[1]Iraq
OFCAD536-08,Hesperophylax magnus_1[3]AZ
OFCAD535-08,Hesperophylax magnus_1[3]AZ
OFCAD534-08,Hesperophylax magnus_1[3]AZ
OFCAD533-08,Hesperophylax magnus_2[1]AZ
CSUTR001-10,Hesperophylax magnus_3[1]CO
KKUMN247-10,Hesperophylax magnus_4[1]AZ
RMCAD597-08,Frenesia difficilis_1[4]ON
RMCAD600-08,Frenesia difficilis_1[4]ON
RMCAD599-08,Frenesia difficilis_1[4]ON
RMCAD598-08,Frenesia difficilis_1[4]ON
PKCAD838-08,Frenesia difficilis_2[1]NC
SMCAD333-07,Frenesia difficilis_3[1]NC
SMCAD334-07,Frenesia difficilis_4[1]NC
KKCAD537-09,Drusus rectus rectus_1[1]Spain
HMKKT383-10,Limnephilus flavospinosus_1[1]Greece
HMKKT760-10,Limnephilus flavospinosus_2[1]Greece
HMKKT022-10,Limnephilus flavospinosus_3[1]Romania
HMKKT114-10,Limnephilus flavospinosus_4[1]Greece
HMKKT727-10,Allogamus ligonifer_1[1]Portugal
PDCAD084-08,Chaetopteryx villosa x fusca_1[9]Poland
PDCAD078-08,Chaetopteryx villosa x fusca_1[9]Poland
PDCAD152-08,Chaetopteryx villosa x fusca_1[9]Poland
PDCAD077-08,Chaetopteryx villosa x fusca_1[9]Poland
PDCAD080-08,Chaetopteryx villosa x fusca_1[9]Poland
PDCAD106-08,Chaetopteryx villosa x fusca_1[9]Poland
PDCAD103-08,Chaetopteryx villosa x fusca_1[9]Poland
PDCAD076-08,Chaetopteryx villosa x fusca_1[9]Poland
PDCAD105-08,Chaetopteryx villosa x fusca_1[9]Poland
PDCAD041-08,Chaetopteryx villosa x fusca_2[7]Poland
PDCAD025-08,Chaetopteryx villosa x fusca_2[7]Poland
PDCAD005-08,Chaetopteryx villosa x fusca_2[7]Poland
PDCAD003-08,Chaetopteryx villosa x fusca_2[7]Poland
PDCAD001-08,Chaetopteryx villosa x fusca_2[7]Poland
PDCAD058-08,Chaetopteryx villosa x fusca_2[7]Poland
PDCAD004-08,Chaetopteryx villosa x fusca_2[7]Poland
PDCAD120-08,Chaetopteryx villosa x fusca_3[7]Sweden
PDCAD125-08,Chaetopteryx villosa x fusca_3[7]Sweden
PDCAD124-08,Chaetopteryx villosa x fusca_3[7]Sweden
PDCAD121-08,Chaetopteryx villosa x fusca_3[7]Sweden
PDCAD117-08,Chaetopteryx villosa x fusca_3[7]Sweden
PDCAD115-08,Chaetopteryx villosa x fusca_3[7]Sweden
PDCAD113-08,Chaetopteryx villosa x fusca_3[7]Sweden
PDCAD045-08,Chaetopteryx villosa x fusca_4[4]Poland
