ProcessID,HaplotypeID
NECAD489-08,Neothremma alicia_1[3]UT|WY
NECAD488-08,Neothremma alicia_1[3]UT|WY
KKCAD325-07,Neothremma alicia_1[3]UT|WY
ABCAD291-09,Neothremma alicia_2[1]AB
NECAD487-08,Neothremma alicia_3[1]WY
ABCAD273-09,Neothremma alicia_4[1]AB
GBMH6360-09,Neothremma alicia_5[1]
ABCAD278-09,Neothremma alicia_6[1]AB
NECAD490-08,Neothremma alicia_7[1]CO
ABCAD276-09,Neothremma alicia_8[1]AB
HMTRI037-08,Apatania cypria_1[1]Lebanon
NECAD100-08,Goera sp._1[1]TN
NECAD101-08,Goera sp._2[1]TN
UMNEA203-08,Oligophlebodes minutus_1[3]WY
UMNEA202-08,Oligophlebodes minutus_1[3]WY
UMNEA204-08,Oligophlebodes minutus_1[3]WY
DRCAD255-09,Oligophlebodes minutus_2[2]CO
DRCAD254-09,Oligophlebodes minutus_2[2]CO
DRCAD445-10,Oligophlebodes minutus_3[2]NM
DRCAD444-10,Oligophlebodes minutus_3[2]NM
GBMH0350-06,Oligophlebodes minutus_4[1]
CSUTR145-10,Oligophlebodes minutus_5[1]WY
DRCAD257-09,Oligophlebodes minutus_6[1]CO
CSUTR146-10,Oligophlebodes minutus_7[1]WY
DRCAD256-09,Oligophlebodes minutus_8[1]CO
UMNEA206-08,Oligophlebodes minutus_9[1]AZ
UMNEA205-08,Oligophlebodes minutus_10[1]AZ
UMNEA207-08,Oligophlebodes minutus_11[1]AZ
NECAD511-08,Neophylax etnieri_1[1]TN
NECAD510-08,Neophylax etnieri_2[1]TN
NECAD509-08,Neophylax etnieri_3[1]TN
PKCAD773-08,Neophylax etnieri_4[1]TN
NECAD512-08,Neophylax etnieri_5[1]TN
MBCAD338-08,Nemotaulius hostilis_1[1]MB
PKCAD833-08,Neophylax JR sp. US2_1[1]AL
PKCAD819-08,Neophylax JR sp. US1_1[1]AL
GBMH0348-06,Moropsyche parvula_1[1]
OFTRI257-10,Moropsyche parvula_2[1]Japan
CSUTR017-10,Neophylax splendens_1[3]WY
CSUTR014-10,Neophylax splendens_1[3]WY
CSUTR013-10,Neophylax splendens_1[3]WY
CSUTR015-10,Neophylax splendens_2[1]WY
EVCAD402-07,Neophylax splendens_3[1]BC
CSUTR016-10,Neophylax splendens_4[1]WY
UMNEA784-08,Neophylax splendens_5[1]UT
NECAD549-08,Oligophlebodes ruthae_1[4]WY
NECAD548-08,Oligophlebodes ruthae_1[4]WY
NECAD547-08,Oligophlebodes ruthae_1[4]WY
NECAD546-08,Oligophlebodes ruthae_1[4]WY
UMNEA189-08,Oligophlebodes ruthae_2[1]MT
ABCAD216-08,Oligophlebodes ruthae_3[1]AB
ABCAD215-08,Oligophlebodes ruthae_4[1]AB
NECAD615-08,Oligophlebodes ruthae_5[1]WA
NECAD614-08,Oligophlebodes ruthae_6[1]WA
PKCAD830-08,Goerita betteni_1[1]KY
PKCAD333-07,Goerita betteni_2[1]KY
SMCAD568-07,Goera fuscula_1[28]NC|TN
SMCAD566-07,Goera fuscula_1[28]NC|TN
SMCAD409-07,Goera fuscula_1[28]NC|TN
SMCAD407-07,Goera fuscula_1[28]NC|TN
SMCAD405-07,Goera fuscula_1[28]NC|TN
SMCAD404-07,Goera fuscula_1[28]NC|TN
SMCAD398-07,Goera fuscula_1[28]NC|TN
SMCAD371-07,Goera fuscula_1[28]NC|TN
SMCAD370-07,Goera fuscula_1[28]NC|TN
SMCAD367-07,Goera fuscula_1[28]NC|TN
SMCAD261-07,Goera fuscula_1[28]NC|TN
SMCAD259-07,Goera fuscula_1[28]NC|TN
SMCAD257-07,Goera fuscula_1[28]NC|TN
PKCAD782-08,Goera fuscula_1[28]NC|TN
SMCAD411-07,Goera fuscula_1[28]NC|TN
SMCAD363-07,Goera fuscula_1[28]NC|TN
SMCAD414-07,Goera fuscula_1[28]NC|TN
SMCAD260-07,Goera fuscula_1[28]NC|TN
SMCAD418-07,Goera fuscula_1[28]NC|TN
SMCAD399-07,Goera fuscula_1[28]NC|TN
SMCAD373-07,Goera fuscula_1[28]NC|TN
SMCAD364-07,Goera fuscula_1[28]NC|TN
SMCAD376-07,Goera fuscula_1[28]NC|TN
SMCAD417-07,Goera fuscula_1[28]NC|TN
SMCAD374-07,Goera fuscula_1[28]NC|TN
SMCAD372-07,Goera fuscula_1[28]NC|TN
SMCAD361-07,Goera fuscula_1[28]NC|TN
SMCAD360-07,Goera fuscula_1[28]NC|TN
SMCAD567-07,Goera fuscula_2[8]NC|TN
SMCAD412-07,Goera fuscula_2[8]NC|TN
SMCAD406-07,Goera fuscula_2[8]NC|TN
SMCAD403-07,Goera fuscula_2[8]NC|TN
SMCAD369-07,Goera fuscula_2[8]NC|TN
SMCAD365-07,Goera fuscula_2[8]NC|TN
SMCAD402-07,Goera fuscula_2[8]NC|TN
SMCAD617-07,Goera fuscula_2[8]NC|TN
SMCAD618-07,Goera fuscula_3[7]NC|TN
SMCAD415-07,Goera fuscula_3[7]NC|TN
SMCAD410-07,Goera fuscula_3[7]NC|TN
SMCAD375-07,Goera fuscula_3[7]NC|TN
SMCAD416-07,Goera fuscula_3[7]NC|TN
SMCAD413-07,Goera fuscula_3[7]NC|TN
SMCAD258-07,Goera fuscula_3[7]NC|TN
NBTRI768-08,Goera fuscula_4[5]NB
NBCAD766-08,Goera fuscula_4[5]NB
NBCAD774-08,Goera fuscula_4[5]NB
NBCAD772-08,Goera fuscula_4[5]NB
NBCAD765-08,Goera fuscula_4[5]NB
SMCAD401-07,Goera fuscula_5[2]NC
SMCAD366-07,Goera fuscula_5[2]NC
UMNEA033-08,Goera fuscula_6[1]NC
MDA894-09,Goera fuscula_7[1]VA
MDA896-09,Goera fuscula_8[1]VA
MDA895-09,Goera fuscula_9[1]VA
NBTRI127-08,Goera fuscula_10[1]NB
NBTRI480-08,Goera fuscula_11[1]NB
SMCAD408-07,Goera fuscula_12[1]NC
UMNEB585-08,Goera fuscula_13[1]NJ
PKCAD001-07,Goera fuscula_14[1]VA
SMCAD368-07,Goera fuscula_15[1]NC
SMCAD362-07,Goera fuscula_16[1]NC
UMNEB586-08,Goera fuscula_17[1]NJ
SMCAD400-07,Goera fuscula_18[1]NC
UMNEA213-08,Oligophlebodes sierra_1[12]AB|MT|WY
UMNEA210-08,Oligophlebodes sierra_1[12]AB|MT|WY
UMNEA209-08,Oligophlebodes sierra_1[12]AB|MT|WY
NECAD545-08,Oligophlebodes sierra_1[12]AB|MT|WY
NECAD544-08,Oligophlebodes sierra_1[12]AB|MT|WY
NECAD543-08,Oligophlebodes sierra_1[12]AB|MT|WY
