ProcessID,HaplotypeID
KKCAD409-07,Limnocentropus himalayanus_1[1]Bhutan
HMCAD297-08,Limnocentropus himalayanus_2[1]Bhutan
KKCAD328-07,Barbarochthon brunneum_1[1]South Africa
GBMH0358-06,Limnocentropus insolitus_1[1]
CBCAD185-10,Helicopsyche borealis_1[1]NS
KKUMN416-10,Sericostoma personatum_1[1]Spain
KJCAD012-09,Antipodoecia turneri_1[1]Australia.Queensland
SSTLR056-09,Molanna flavicornis_1[1]MB
KKCAD358-07,Hydrosalpinx sericea_1[1]South Africa
UMNEB628-08,Mystacopsyche longipilosa_1[1]Chile
OFXZT183-10,Microthremma patagonicum_1[1]Argentina
HMKKT742-10,Limnocentropus auratus_1[1]China.
KKUMN015-10,Banyallarga vicaria_1[1]Colombia
OFTRI015-10,Chathamia integripennis_1[1]New Zealand
OFTRI028-10,Pycnocentria funerea_1[1]New Zealand
AVMTT038-09,Leptocerus americanus_1[1]QC
KJCAD005-08,Caloca saneva_1[1]Australia.Tasmania
NBTRI744-08,Psilotreta indecisa_1[1]NB
KKCAD366-07,Petrothrincus triangularis_1[1]South Africa
KKUMN019-10,Contulma spinosa_1[1]Ecuador
HMCAD624-09,Beraea maura_1[1]Italy
LTUT006-11,Atriplectides ikmaleus_1[1]Australia.Queensland
KKCAD361-07,Tasimia denticulata_1[1]Australia.Australian Capital Territory
