ProcessID,HaplotypeID
HMCAD297-08,Limnocentropus himalayanus_1[1]Punakha
KKUMN277-10,Marilia major_1[1]Brazil.Sao Paulo
PKCAD820-08,Odontocerinae_1[1]NC
CSUTR249-10,Marilia flexuosa_1[1]TX
OFCAD826-08,Marilia flexuosa_2[1]AZ
KKUMN276-10,Marilia flexuosa_3[1]AZ
OFCAD839-08,Psilotreta rossi_1[3]WV
OFCAD838-08,Psilotreta rossi_1[3]WV
OFCAD837-08,Psilotreta rossi_1[3]WV
PKCAD321-07,Psilotreta rossi_2[2]NC
PKCAD214-07,Psilotreta rossi_2[2]NC
OFCAD836-08,Psilotreta rossi_3[1]NC
MPBZT070-09,Odontoceridae_1[1]Brazil.
LTUT677-12,Odontoceridae_2[1]Australia.New South Wales
CAUTR103-09,Odontoceridae_3[1]China.Liaoning
CAUTR053-09,Odontoceridae_4[1]China.Liaoning
LTUT322-11,Odontoceridae_5[1]Australia.New South Wales
OFCAD830-08,Namamyia plutonis_1[2]CA
OFCAD828-08,Namamyia plutonis_1[2]CA
CSUTR273-10,Namamyia plutonis_2[2]CA
CSUTR272-10,Namamyia plutonis_2[2]CA
DRCAD230-09,Namamyia plutonis_3[1]CA
DRCAD188-09,Parthina linea_1[4]CA
DRCAD187-09,Parthina linea_1[4]CA
DRCAD190-09,Parthina linea_1[4]CA
DRCAD189-09,Parthina linea_1[4]CA
NECAD643-08,Parthina linea_2[3]WA
NECAD642-08,Parthina linea_2[3]WA
NECAD641-08,Parthina linea_2[3]WA
LTUT156-11,Barynema_1[1]Australia.Queensland
LTUT157-11,Barynema_2[1]Australia.Queensland
CBCAD185-10,Helicopsyche borealis_1[1]Nova Scotia
SMCAD307-07,Psilotreta frontalis_1[6]NC
SMCAD306-07,Psilotreta frontalis_1[6]NC
SMCAD305-07,Psilotreta frontalis_1[6]NC
SMCAD304-07,Psilotreta frontalis_1[6]NC
SMCAD303-07,Psilotreta frontalis_1[6]NC
SMCAD302-07,Psilotreta frontalis_1[6]NC
SMCAD432-07,Psilotreta frontalis_2[4]NC
SMCAD358-07,Psilotreta frontalis_2[4]NC
SMCAD310-07,Psilotreta frontalis_2[4]NC
SMCAD357-07,Psilotreta frontalis_2[4]NC
HIMXD015-10,Psilotreta frontalis_3[3]NC
HIEPT035-09,Psilotreta frontalis_3[3]NC
HIEPT020-09,Psilotreta frontalis_3[3]NC
AMII203-08,Psilotreta frontalis_4[2]MD
AMII136-08,Psilotreta frontalis_4[2]MD
SMCAD308-07,Psilotreta frontalis_5[2]NC
SMCAD309-07,Psilotreta frontalis_5[2]NC
SMCAD140-07,Psilotreta frontalis_6[2]TN
KKUMN279-10,Psilotreta frontalis_6[2]TN
AMII004-08,Psilotreta frontalis_7[1]MD
AMII119-08,Psilotreta frontalis_8[1]MD
AMII185-08,Psilotreta frontalis_9[1]MD
MDA433-08,Psilotreta frontalis_10[1]MD
AMII049-08,Psilotreta frontalis_11[1]MD
AMIJ082-08,Psilotreta frontalis_12[1]MD
GBMH0380-06,Psilotreta frontalis_13[1]
MDA434-08,Psilotreta frontalis_14[1]NC
AMII205-08,Psilotreta frontalis_15[1]MD
MDA126-08,Psilotreta frontalis_16[1]VA
AMII134-08,Psilotreta frontalis_17[1]MD
AMII055-08,Psilotreta frontalis_18[1]MD
PKCAD003-07,Psilotreta frontalis_19[1]VA
ECCAC066-09,Psilotreta frontalis_20[1]NB
SMCAD301-07,Psilotreta frontalis_21[1]NC
BKCAD050-08,Psilotreta frontalis_22[1]NY
PKCAD512-07,Psilotreta frontalis_23[1]SC
HIEPT245-10,Psilotreta frontalis_24[1]NC
HIMXD029-10,Psilotreta frontalis_25[1]NC
SMCAD300-07,Psilotreta frontalis_26[1]NC
KKUMN416-10,Sericostoma personatum_1[1]Galicia
HMKKT942-11,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
HMKKT440-10,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
HMKKT438-10,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
HMKKT085-10,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
HMKKT075-10,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
HMCAD146-08,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
HMCAD145-08,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
HMCAD115-08,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
HMCAD114-08,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
HMCAD113-08,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
HMCAD112-08,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
FBCAD058-10,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
FBAQU366-09,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
FBAQU145-09,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
BHMKK165-12,Odontocerum albicorne_1[15]Austria|Czech Republic|Germany
CZCAD041-10,Odontocerum albicorne_2[9]Spain
CZCAD049-10,Odontocerum albicorne_2[9]Spain
CZCAD047-10,Odontocerum albicorne_2[9]Spain
CZCAD066-10,Odontocerum albicorne_2[9]Spain
CZCAD067-10,Odontocerum albicorne_2[9]Spain
CZCAD048-10,Odontocerum albicorne_2[9]Spain
CZCAD043-10,Odontocerum albicorne_2[9]Spain
CZCAD068-10,Odontocerum albicorne_2[9]Spain
CZCAD046-10,Odontocerum albicorne_2[9]Spain
CZCAD044-10,Odontocerum albicorne_3[2]Spain
CZCAD045-10,Odontocerum albicorne_3[2]Spain
CZCAD050-10,Odontocerum albicorne_4[2]Spain
CZCAD051-10,Odontocerum albicorne_4[2]Spain
HMTRI455-09,Odontocerum albicorne_5[2]Italy
HMKKT724-10,Odontocerum albicorne_5[2]Italy
HMKKT439-10,Odontocerum albicorne_6[2]Austria
HMKKT179-10,Odontocerum albicorne_6[2]Austria
JPCAD488-08,Odontocerum albicorne_7[2]France
JPCAD487-08,Odontocerum albicorne_7[2]France
JPCAD491-08,Odontocerum albicorne_8[2]France
JPCAD489-08,Odontocerum albicorne_8[2]France
KKCAD492-09,Odontocerum albicorne_9[2]Spain
CZCAD042-10,Odontocerum albicorne_9[2]Spain
HMCAD493-09,Odontocerum albicorne_10[1]Austria
JPCAD490-08,Odontocerum albicorne_11[1]France
HMCAD147-08,Odontocerum albicorne_12[1]Austria
HMCAD111-08,Odontocerum albicorne_13[1]Austria
DRCAD574-10,Odontocerum albicorne_14[1]Austria
KKCAD493-09,Odontocerum albicorne_15[1]Spain
HMCAD494-09,Odontocerum albicorne_16[1]Austria
LTUT305-11,Marilia fusca_1[1]Australia.Queensland
CNTLV060-09,Psilotreta lobopennis_1[3]China.Guangdong
CNTLV059-09,Psilotreta lobopennis_1[3]China.Guangdong
CNODT027-09,Psilotreta lobopennis_1[3]China.Guangdong
TRIFI473-11,Odontoceron albicorne_1[1]Estonia
HMCAD533-09,Marilia aerope_1[2]Thailand
HMCAD529-09,Marilia aerope_1[2]Thailand
HMCAD530-09,Marilia aerope_2[2]Thailand
HMCAD531-09,Marilia aerope_2[2]Thailand
HMCAD532-09,Marilia aerope_3[1]Thailand
GBMH0367-06,Odontocerum cf. albicorne-Spain_1[1]
AMIE113-07,Psilotreta sp. MLS_1[1]MD
HIEPT244-10,Pseudogoera cf. singularis_1[1]SC
SMCAD747-07,Psilotreta amera_1[6]TN
SMCAD746-07,Psilotreta amera_1[6]TN
SMCAD745-07,Psilotreta amera_1[6]TN
KKUMN278-10,Psilotreta amera_1[6]TN
SMCAD670-07,Psilotreta amera_1[6]TN
SMCAD218-07,Psilotreta amera_1[6]TN
SMCAD569-07,Psilotreta amera_2[1]TN
KKCAD358-07,Hydrosalpinx sericea_1[1]Western Cape
KKCAD425-07,Lannapsyche chantaramongkolae_1[1]
OFXZT183-10,Microthremma patagonicum_1[1]Neuquen
LTUT379-11,Marilia_1[1]Australia.Queensland
LTUT112-11,Marilia_2[1]Australia.New South Wales
LTUT691-12,Marilia_3[1]Australia.Queensland
LTUT113-11,Marilia_4[1]Australia.New South Wales
KKCAD346-07,Barynema KMK sp._1[1]
JPTRI079-10,Perissoneura paradoxa_1[2]Japan
JPTRI078-10,Perissoneura paradoxa_1[2]Japan
JPTRI080-10,Perissoneura paradoxa_2[1]Japan
HMTRI413-09,Odontocerum hellenicum_1[2]Greece
HMKKT736-10,Odontocerum hellenicum_1[2]Greece
HMKKT033-10,Odontocerum hellenicum_2[1]Greece
HMTRI114-08,Odontocerum hellenicum_3[1]Greece
KKCAD328-07,Barbarochthon brunneum_1[1]Western Cape
OFCAD843-08,Psilotreta rufa_1[2]AL
OFCAD840-08,Psilotreta rufa_1[2]AL
MDA438-08,Psilotreta rufa_2[1]VA
PKCAD162-07,Psilotreta rufa_3[1]KY
BHMKK034-12,Marilia sp._1[5]Thailand
BHMKK031-12,Marilia sp._1[5]Thailand
BHMKK030-12,Marilia sp._1[5]Thailand
BHMKK027-12,Marilia sp._1[5]Thailand
BHMKK035-12,Marilia sp._1[5]Thailand
BHMKK029-12,Marilia sp._2[1]Thailand
BHMKK033-12,Marilia sp._3[1]Thailand
BHMKK032-12,Marilia sp._4[1]Thailand
BHMKK028-12,Marilia sp._5[1]Thailand
OFTRI015-10,Chathamia integripennis_1[1]North Island
SMCAD451-07,Psilotreta JR sp. US1_1[4]NC
SMCAD450-07,Psilotreta JR sp. US1_1[4]NC
SMCAD449-07,Psilotreta JR sp. US1_1[4]NC
SMCAD448-07,Psilotreta JR sp. US1_1[4]NC
SMCAD447-07,Psilotreta JR sp. US1_2[1]NC
SSTLR056-09,Molanna flavicornis_1[1]Manitoba
KKUMN015-10,Banyallarga vicaria_1[1]Magdalena
HMCAD120-08,Marilia sumatrana_1[3]Thailand
HMCAD116-08,Marilia sumatrana_1[3]Thailand
HMCAD118-08,Marilia sumatrana_1[3]Thailand
HMCAD119-08,Marilia sumatrana_2[1]Thailand
HMCAD121-08,Marilia sumatrana_3[1]Thailand
HMCAD117-08,Marilia sumatrana_4[1]Thailand
HMTRI377-09,Marilia sumatrana_5[1]Thailand
PKCAD229-07,Pseudogoera singularis_1[1]NC
HIEPT001-09,Pseudogoera singularis_2[1]SC
KKCAD378-07,Pseudogoera singularis_3[1]
KJCAD005-08,Caloca saneva_1[1]Tasmania
CNTLV080-09,Psilotreta XZ sp. CN1_1[2]China.Yunnan
CNTLV079-09,Psilotreta XZ sp. CN1_1[2]China.Yunnan
LTUT334-11,Barynema costatum_1[1]Australia.New South Wales
LTUT337-11,Barynema costatum_2[1]Australia.New South Wales
NBTRI886-08,Psilotreta indecisa_1[103]NB
NBTRI749-08,Psilotreta indecisa_1[103]NB
NBTRI748-08,Psilotreta indecisa_1[103]NB
NBTRI747-08,Psilotreta indecisa_1[103]NB
NBTRI745-08,Psilotreta indecisa_1[103]NB
NBTRI744-08,Psilotreta indecisa_1[103]NB
NBTRI743-08,Psilotreta indecisa_1[103]NB
NBTRI741-08,Psilotreta indecisa_1[103]NB
NBTRI740-08,Psilotreta indecisa_1[103]NB
NBTRI739-08,Psilotreta indecisa_1[103]NB
NBTRI738-08,Psilotreta indecisa_1[103]NB
NBTRI737-08,Psilotreta indecisa_1[103]NB
NBTRI483-08,Psilotreta indecisa_1[103]NB
NBTRI482-08,Psilotreta indecisa_1[103]NB
NBTRI481-08,Psilotreta indecisa_1[103]NB
NBTRI478-08,Psilotreta indecisa_1[103]NB
NBTRI477-08,Psilotreta indecisa_1[103]NB
NBTRI329-08,Psilotreta indecisa_1[103]NB
NBTRI328-08,Psilotreta indecisa_1[103]NB
NBTRI325-08,Psilotreta indecisa_1[103]NB
NBTRI121-08,Psilotreta indecisa_1[103]NB
NBTRI120-08,Psilotreta indecisa_1[103]NB
NBTRI118-08,Psilotreta indecisa_1[103]NB
NBTRI115-08,Psilotreta indecisa_1[103]NB
NBTRI108-08,Psilotreta indecisa_1[103]NB
NBTRI105-08,Psilotreta indecisa_1[103]NB
NBTRI098-08,Psilotreta indecisa_1[103]NB
NBTRI096-08,Psilotreta indecisa_1[103]NB
NBTRI095-08,Psilotreta indecisa_1[103]NB
NBTRI093-08,Psilotreta indecisa_1[103]NB
NBCAD764-08,Psilotreta indecisa_1[103]NB
NBCAD762-08,Psilotreta indecisa_1[103]NB
NBCAD757-08,Psilotreta indecisa_1[103]NB
NBCAD257-08,Psilotreta indecisa_1[103]NB
NBCAD254-08,Psilotreta indecisa_1[103]NB
NBCAD251-08,Psilotreta indecisa_1[103]NB
NBCAD250-08,Psilotreta indecisa_1[103]NB
NBCAD246-08,Psilotreta indecisa_1[103]NB
NBCAD243-08,Psilotreta indecisa_1[103]NB
NBCAD241-08,Psilotreta indecisa_1[103]NB
NBCAD237-08,Psilotreta indecisa_1[103]NB
NBCAD236-08,Psilotreta indecisa_1[103]NB
NBCAD226-08,Psilotreta indecisa_1[103]NB
NBCAD224-08,Psilotreta indecisa_1[103]NB
NBCAD218-08,Psilotreta indecisa_1[103]NB
NBCAD210-08,Psilotreta indecisa_1[103]NB
NBCAD208-08,Psilotreta indecisa_1[103]NB
NBCAD194-08,Psilotreta indecisa_1[103]NB
NBCAD193-08,Psilotreta indecisa_1[103]NB
NBCAD189-08,Psilotreta indecisa_1[103]NB
NBCAD175-08,Psilotreta indecisa_1[103]NB
NBCAD174-08,Psilotreta indecisa_1[103]NB
NBCAD172-08,Psilotreta indecisa_1[103]NB
NBCAD171-08,Psilotreta indecisa_1[103]NB
NBCAD170-08,Psilotreta indecisa_1[103]NB
NBCAD169-08,Psilotreta indecisa_1[103]NB
NBCAD167-08,Psilotreta indecisa_1[103]NB
NBCAD166-08,Psilotreta indecisa_1[103]NB
NBCAD165-08,Psilotreta indecisa_1[103]NB
NBCAD163-08,Psilotreta indecisa_1[103]NB
NBCAD162-08,Psilotreta indecisa_1[103]NB
NBCAD161-08,Psilotreta indecisa_1[103]NB
NBCAD154-08,Psilotreta indecisa_1[103]NB
NBCAD135-08,Psilotreta indecisa_1[103]NB
NBCAD129-08,Psilotreta indecisa_1[103]NB
NBCAD128-08,Psilotreta indecisa_1[103]NB
NBCAD126-08,Psilotreta indecisa_1[103]NB
NBCAD124-08,Psilotreta indecisa_1[103]NB
NBCAD123-08,Psilotreta indecisa_1[103]NB
NBCAD122-08,Psilotreta indecisa_1[103]NB
NBCAD116-08,Psilotreta indecisa_1[103]NB
NBCAD114-08,Psilotreta indecisa_1[103]NB
NBCAD112-08,Psilotreta indecisa_1[103]NB
NBCAD107-08,Psilotreta indecisa_1[103]NB
NBCAD106-08,Psilotreta indecisa_1[103]NB
NBCAD099-08,Psilotreta indecisa_1[103]NB
NBCAD096-08,Psilotreta indecisa_1[103]NB
NBCAD094-08,Psilotreta indecisa_1[103]NB
NBCAD093-08,Psilotreta indecisa_1[103]NB
NBCAD090-08,Psilotreta indecisa_1[103]NB
NBCAD089-08,Psilotreta indecisa_1[103]NB
NBCAD066-08,Psilotreta indecisa_1[103]NB
NBCAD065-08,Psilotreta indecisa_1[103]NB
NBCAD064-08,Psilotreta indecisa_1[103]NB
ECFOM103-10,Psilotreta indecisa_1[103]NB
ECFOM013-10,Psilotreta indecisa_1[103]NB
NBCAD130-08,Psilotreta indecisa_1[103]NB
NBCAD223-08,Psilotreta indecisa_1[103]NB
NBCAD151-08,Psilotreta indecisa_1[103]NB
NBTRI094-08,Psilotreta indecisa_1[103]NB
NBTRI475-08,Psilotreta indecisa_1[103]NB
NBCAD201-08,Psilotreta indecisa_1[103]NB
NBTRI107-08,Psilotreta indecisa_1[103]NB
NBTRI116-08,Psilotreta indecisa_1[103]NB
NBCAD253-08,Psilotreta indecisa_1[103]NB
NBCAD244-08,Psilotreta indecisa_1[103]NB
NBCAD220-08,Psilotreta indecisa_1[103]NB
NBCAD258-08,Psilotreta indecisa_1[103]NB
NBCAD212-08,Psilotreta indecisa_1[103]NB
NBCAD256-08,Psilotreta indecisa_1[103]NB
NBCAD199-08,Psilotreta indecisa_1[103]NB
NBCAD248-08,Psilotreta indecisa_1[103]NB
NBCAD761-08,Psilotreta indecisa_1[103]NB
NBTRI479-08,Psilotreta indecisa_2[30]NB
NBTRI476-08,Psilotreta indecisa_2[30]NB
NBTRI110-08,Psilotreta indecisa_2[30]NB
NBTRI104-08,Psilotreta indecisa_2[30]NB
NBTRI101-08,Psilotreta indecisa_2[30]NB
NBTRI100-08,Psilotreta indecisa_2[30]NB
NBTRI099-08,Psilotreta indecisa_2[30]NB
NBTRI092-08,Psilotreta indecisa_2[30]NB
NBTRI091-08,Psilotreta indecisa_2[30]NB
NBCAD249-08,Psilotreta indecisa_2[30]NB
NBCAD247-08,Psilotreta indecisa_2[30]NB
NBCAD245-08,Psilotreta indecisa_2[30]NB
NBCAD227-08,Psilotreta indecisa_2[30]NB
NBCAD214-08,Psilotreta indecisa_2[30]NB
NBCAD200-08,Psilotreta indecisa_2[30]NB
NBCAD168-08,Psilotreta indecisa_2[30]NB
NBCAD125-08,Psilotreta indecisa_2[30]NB
NBCAD115-08,Psilotreta indecisa_2[30]NB
NBCAD110-08,Psilotreta indecisa_2[30]NB
NBCAD108-08,Psilotreta indecisa_2[30]NB
NBCAD092-08,Psilotreta indecisa_2[30]NB
NBTRI119-08,Psilotreta indecisa_2[30]NB
NBTRI097-08,Psilotreta indecisa_2[30]NB
NBTRI114-08,Psilotreta indecisa_2[30]NB
NBTRI111-08,Psilotreta indecisa_2[30]NB
NBTRI102-08,Psilotreta indecisa_2[30]NB
NBCAD252-08,Psilotreta indecisa_2[30]NB
NBCAD259-08,Psilotreta indecisa_2[30]NB
NBCAD240-08,Psilotreta indecisa_2[30]NB
NBTRI112-08,Psilotreta indecisa_2[30]NB
NBCAD239-08,Psilotreta indecisa_3[5]NB
NBCAD238-08,Psilotreta indecisa_3[5]NB
NBCAD177-08,Psilotreta indecisa_3[5]NB
NBCAD113-08,Psilotreta indecisa_3[5]NB
NBCAD098-08,Psilotreta indecisa_3[5]NB
NBCAD121-08,Psilotreta indecisa_4[3]NB
NBCAD760-08,Psilotreta indecisa_4[3]NB
NBCAD756-08,Psilotreta indecisa_4[3]NB
NBCAD109-08,Psilotreta indecisa_5[3]NB
NBCAD225-08,Psilotreta indecisa_5[3]NB
NBCAD213-08,Psilotreta indecisa_5[3]NB
NBTRI113-08,Psilotreta indecisa_6[3]NB
NBCAD763-08,Psilotreta indecisa_6[3]NB
