ProcessID,HaplotypeID
UMCHM233-10,Chimarra n. sp. 2 BR_1[1]Brazil.Rio de Janeiro
UMCHM232-10,Chimarra n. sp. 2 BR_2[1]Brazil.Minas Gerais
UMNEA809-08,Wormaldia gabriella_1[9]CO|UT|WA
NECAD593-08,Wormaldia gabriella_1[9]CO|UT|WA
NECAD592-08,Wormaldia gabriella_1[9]CO|UT|WA
KKCAD004-07,Wormaldia gabriella_1[9]CO|UT|WA
DRCAD275-09,Wormaldia gabriella_1[9]CO|UT|WA
DRCAD274-09,Wormaldia gabriella_1[9]CO|UT|WA
DRCAD273-09,Wormaldia gabriella_1[9]CO|UT|WA
DRCAD272-09,Wormaldia gabriella_1[9]CO|UT|WA
DRCAD271-09,Wormaldia gabriella_1[9]CO|UT|WA
GBMH6354-09,Wormaldia gabriella_2[1]
NECAD034-08,Wormaldia gabriella_3[1]BC
NECAD033-08,Wormaldia gabriella_4[1]BC
UMNEA810-08,Wormaldia gabriella_5[1]UT
UMNEA811-08,Wormaldia gabriella_6[1]SD
HMTRI440-09,Wormaldia pulla_1[4]Italy
HMKKT810-10,Wormaldia pulla_1[4]Italy
HMCAD553-09,Wormaldia pulla_1[4]Italy
HMCAD552-09,Wormaldia pulla_1[4]Italy
HMCAD551-09,Wormaldia pulla_2[1]Italy
HMKKT803-10,Wormaldia pulla_3[1]Italy
ECCAC528-09,Dolophilodes distincta_1[29]NB
ECCAC473-09,Dolophilodes distincta_1[29]NB
ECCAC456-09,Dolophilodes distincta_1[29]NB
ECCAC442-09,Dolophilodes distincta_1[29]NB
ECCAC433-09,Dolophilodes distincta_1[29]NB
ECCAC419-09,Dolophilodes distincta_1[29]NB
ECCAC413-09,Dolophilodes distincta_1[29]NB
ECCAC412-09,Dolophilodes distincta_1[29]NB
ECCAC391-09,Dolophilodes distincta_1[29]NB
ECCAC339-09,Dolophilodes distincta_1[29]NB
ECCAC266-09,Dolophilodes distincta_1[29]NB
ECCAC229-09,Dolophilodes distincta_1[29]NB
ECCAC196-09,Dolophilodes distincta_1[29]NB
ECCAC168-09,Dolophilodes distincta_1[29]NB
ECCAC150-09,Dolophilodes distincta_1[29]NB
ECCAC135-09,Dolophilodes distincta_1[29]NB
ECCAC089-09,Dolophilodes distincta_1[29]NB
ECCAC077-09,Dolophilodes distincta_1[29]NB
ECCAC075-09,Dolophilodes distincta_1[29]NB
ECCAC064-09,Dolophilodes distincta_1[29]NB
ECCAC046-09,Dolophilodes distincta_1[29]NB
ECCAC029-09,Dolophilodes distincta_1[29]NB
ECCAC009-09,Dolophilodes distincta_1[29]NB
ECCAC103-09,Dolophilodes distincta_1[29]NB
ECCAC499-09,Dolophilodes distincta_1[29]NB
ECCAC187-09,Dolophilodes distincta_1[29]NB
ECCAC529-09,Dolophilodes distincta_1[29]NB
ECCAC309-09,Dolophilodes distincta_1[29]NB
ECCAC548-09,Dolophilodes distincta_1[29]NB
ECCAC546-09,Dolophilodes distincta_2[20]NB
ECCAC492-09,Dolophilodes distincta_2[20]NB
ECCAC465-09,Dolophilodes distincta_2[20]NB
ECCAC447-09,Dolophilodes distincta_2[20]NB
ECCAC432-09,Dolophilodes distincta_2[20]NB
ECCAC415-09,Dolophilodes distincta_2[20]NB
ECCAC408-09,Dolophilodes distincta_2[20]NB
ECCAC396-09,Dolophilodes distincta_2[20]NB
ECCAC308-09,Dolophilodes distincta_2[20]NB
ECCAC298-09,Dolophilodes distincta_2[20]NB
ECCAC297-09,Dolophilodes distincta_2[20]NB
ECCAC251-09,Dolophilodes distincta_2[20]NB
ECCAC222-09,Dolophilodes distincta_2[20]NB
ECCAC181-09,Dolophilodes distincta_2[20]NB
ECCAC034-09,Dolophilodes distincta_2[20]NB
ECCAC481-09,Dolophilodes distincta_2[20]NB
ECCAC112-09,Dolophilodes distincta_2[20]NB
ECCAC519-09,Dolophilodes distincta_2[20]NB
ECCAC341-09,Dolophilodes distincta_2[20]NB
ECCAC352-09,Dolophilodes distincta_2[20]NB
ECCAC534-09,Dolophilodes distincta_3[19]NB
ECCAC531-09,Dolophilodes distincta_3[19]NB
ECCAC523-09,Dolophilodes distincta_3[19]NB
ECCAC520-09,Dolophilodes distincta_3[19]NB
ECCAC500-09,Dolophilodes distincta_3[19]NB
ECCAC462-09,Dolophilodes distincta_3[19]NB
ECCAC461-09,Dolophilodes distincta_3[19]NB
ECCAC420-09,Dolophilodes distincta_3[19]NB
ECCAC416-09,Dolophilodes distincta_3[19]NB
ECCAC390-09,Dolophilodes distincta_3[19]NB
ECCAC387-09,Dolophilodes distincta_3[19]NB
ECCAC338-09,Dolophilodes distincta_3[19]NB
ECCAC277-09,Dolophilodes distincta_3[19]NB
ECCAC207-09,Dolophilodes distincta_3[19]NB
ECCAC039-09,Dolophilodes distincta_3[19]NB
ECCAC532-09,Dolophilodes distincta_3[19]NB
ECCAC116-09,Dolophilodes distincta_3[19]NB
ECCAC110-09,Dolophilodes distincta_3[19]NB
ECCAC107-09,Dolophilodes distincta_3[19]NB
SMCAD741-07,Dolophilodes distincta_4[12]NC|TN
SMCAD649-07,Dolophilodes distincta_4[12]NC|TN
SMCAD637-07,Dolophilodes distincta_4[12]NC|TN
SMCAD351-07,Dolophilodes distincta_4[12]NC|TN
SMCAD269-07,Dolophilodes distincta_4[12]NC|TN
SMCAD119-07,Dolophilodes distincta_4[12]NC|TN
HIMXD238-10,Dolophilodes distincta_4[12]NC|TN
HIMXD132-10,Dolophilodes distincta_4[12]NC|TN
HIMXD086-10,Dolophilodes distincta_4[12]NC|TN
HIMXD085-10,Dolophilodes distincta_4[12]NC|TN
SMCAD382-07,Dolophilodes distincta_4[12]NC|TN
SMCAD349-07,Dolophilodes distincta_4[12]NC|TN
UMNEA807-08,Dolophilodes distincta_5[12]NC|TN|VA
SMCAD740-07,Dolophilodes distincta_5[12]NC|TN|VA
SMCAD687-07,Dolophilodes distincta_5[12]NC|TN|VA
SMCAD648-07,Dolophilodes distincta_5[12]NC|TN|VA
SMCAD350-07,Dolophilodes distincta_5[12]NC|TN|VA
SMCAD275-07,Dolophilodes distincta_5[12]NC|TN|VA
PKCAD049-07,Dolophilodes distincta_5[12]NC|TN|VA
HIMXD242-10,Dolophilodes distincta_5[12]NC|TN|VA
HIMXD237-10,Dolophilodes distincta_5[12]NC|TN|VA
HIMXD235-10,Dolophilodes distincta_5[12]NC|TN|VA
HIMXD088-10,Dolophilodes distincta_5[12]NC|TN|VA
SMCAD680-07,Dolophilodes distincta_5[12]NC|TN|VA
ECCAC518-09,Dolophilodes distincta_6[11]NB
ECCAC466-09,Dolophilodes distincta_6[11]NB
ECCAC248-09,Dolophilodes distincta_6[11]NB
ECCAC234-09,Dolophilodes distincta_6[11]NB
ECCAC091-09,Dolophilodes distincta_6[11]NB
ECCAC042-09,Dolophilodes distincta_6[11]NB
ECCAC001-09,Dolophilodes distincta_6[11]NB
ECCAC405-09,Dolophilodes distincta_6[11]NB
ECCAC538-09,Dolophilodes distincta_6[11]NB
ECCAC527-09,Dolophilodes distincta_6[11]NB
ECCAC340-09,Dolophilodes distincta_6[11]NB
NBWTT009-09,Dolophilodes distincta_7[6]NB|NS
NBWTT004-09,Dolophilodes distincta_7[6]NB|NS
ECFOM165-10,Dolophilodes distincta_7[6]NB|NS
ECFOM150-10,Dolophilodes distincta_7[6]NB|NS
CBCAD365-10,Dolophilodes distincta_7[6]NB|NS
ECFOM063-10,Dolophilodes distincta_7[6]NB|NS
ECCAC537-09,Dolophilodes distincta_8[5]NB
ECCAC409-09,Dolophilodes distincta_8[5]NB
ECCAC343-09,Dolophilodes distincta_8[5]NB
ECCAC125-09,Dolophilodes distincta_8[5]NB
ECCAC205-09,Dolophilodes distincta_8[5]NB
ECCAC439-09,Dolophilodes distincta_9[5]NB
ECCAC269-09,Dolophilodes distincta_9[5]NB
ECCAC211-09,Dolophilodes distincta_9[5]NB
ECCAC459-09,Dolophilodes distincta_9[5]NB
ECCAC097-09,Dolophilodes distincta_9[5]NB
ECCAC214-09,Dolophilodes distincta_10[4]NB
ECCAC182-09,Dolophilodes distincta_10[4]NB
ECCAC188-09,Dolophilodes distincta_10[4]NB
ECCAC506-09,Dolophilodes distincta_10[4]NB
ECCAC451-09,Dolophilodes distincta_11[4]NB
ECCAC235-09,Dolophilodes distincta_11[4]NB
