ProcessID,HaplotypeID
HMCAD331-08,Phryganea bipunctata_1[4]Austria|Czech Republic
HMCAD323-08,Phryganea bipunctata_1[4]Austria|Czech Republic
HMCAD322-08,Phryganea bipunctata_1[4]Austria|Czech Republic
BHMKK170-12,Phryganea bipunctata_1[4]Austria|Czech Republic
TRIFI487-11,Phryganea bipunctata_2[2]Finland
TRIFI277-11,Phryganea bipunctata_2[2]Finland
TRIFI305-11,Phryganea bipunctata_3[1]Finland
FBAQU273-09,Phryganea bipunctata_4[1]Germany
KKCAD550-09,Phryganea bipunctata_5[1]Norway
ABCAD080-08,Brachycentrus americanus_1[1]AB
JPCAD095-08,Phryganea japonica_1[2]Japan
JPCAD094-08,Phryganea japonica_1[2]Japan
JPCAD097-08,Phryganea japonica_2[1]Japan
JPCAD096-08,Phryganea japonica_3[1]Japan
JPCAD093-08,Phryganea japonica_4[1]Japan
ONCAD617-08,Beothukus complicatus_1[1]ON
ONCAD634-08,Beothukus complicatus_2[1]ON
TRIFI412-11,Agrypnia sp._1[1]Finland
TRIFI413-11,Agrypnia sp._2[1]Finland
TRIFI411-11,Agrypnia sp._3[1]Finland
NECAD183-08,Oligostomis pardalis_1[1]NH
CSUTR164-10,Oligostomis pardalis_2[1]ME
NECAD182-08,Oligostomis pardalis_3[1]PA
OFTRI315-10,Oligostomis wigginsi_1[1]Japan
RMCAD856-10,Oligostomis wigginsi_2[1]Japan
FBAQU275-09,Phryganea grandis_1[2]Germany
FBAQU274-09,Phryganea grandis_1[2]Germany
TRIFI480-11,Phryganea grandis_2[1]Finland
TRIFI481-11,Phryganea grandis_3[1]Finland
HMTRI254-09,Phryganea grandis_4[1]Austria
HMTRI041-08,Phryganea grandis_5[1]Austria
HMKKT280-10,Phryganea grandis_6[1]Austria
MGCAD402-08,Agrypnia picta_1[3]Mongolia
MGCAD401-08,Agrypnia picta_1[3]Mongolia
MGCAD403-08,Agrypnia picta_1[3]Mongolia
MGCAD404-08,Agrypnia picta_2[2]Mongolia
MGCAD399-08,Agrypnia picta_2[2]Mongolia
TRIFI298-11,Agrypnia picta_3[1]Finland
TRIFI455-11,Agrypnia picta_4[1]Latvia
