ProcessID,HaplotypeID
KKUMN311-10,Polycentropus connatus_1[1]Venezuela
UMNEA707-08,Polycentropus unispina_1[3]Colombia
KKUMN339-10,Polycentropus unispina_1[3]Colombia
KKUMN340-10,Polycentropus unispina_1[3]Colombia
HMTRI083-08,Hyalopsyche sachalinica_1[1]Russia.
HMTRI291-09,Ecnomus homhilensis_1[4]|Indian Ocean
HMTRI290-09,Ecnomus homhilensis_1[4]|Indian Ocean
HMTRI192-09,Ecnomus homhilensis_1[4]|Indian Ocean
HMKKT754-10,Ecnomus homhilensis_1[4]|Indian Ocean
KKUMN294-10,Cyrnellus ulmeri_1[1]Brazil.Sao Paulo
NECAD226-08,Nyctiophylax banksi_1[2]NS|ON
NECAD210-08,Nyctiophylax banksi_1[2]NS|ON
TRIFI196-10,Holocentropus insignis_1[1]Finland
LTUT454-11,Paranyctiophylax_1[1]Australia.Queensland
LTUT266-11,Paranyctiophylax_2[1]Australia.New South Wales
LTUT249-11,Paranyctiophylax_3[1]Australia.New South Wales
LTUT261-11,Paranyctiophylax_4[1]Australia.New South Wales
LTUT274-11,Paranyctiophylax_5[1]Australia.New South Wales
HMTRI055-08,Polyplectropus sp._1[1]Thailand
NZCAD002-05,Polyplectropus sp._2[1]New Zealand
OFXZT047-10,Austrotinodes recta_1[3]Argentina
OFXZT046-10,Austrotinodes recta_1[3]Argentina
OFXZT045-10,Austrotinodes recta_1[3]Argentina
UMNEB796-08,Austrotinodes recta_2[1]Chile
TRHGO665-10,Polycentropus aztecus_1[12]Mexico
TRHGO664-10,Polycentropus aztecus_1[12]Mexico
TRHGO663-10,Polycentropus aztecus_1[12]Mexico
TRHGO438-10,Polycentropus aztecus_1[12]Mexico
TRHGO437-10,Polycentropus aztecus_1[12]Mexico
TRHGO436-10,Polycentropus aztecus_1[12]Mexico
TRHGO435-10,Polycentropus aztecus_1[12]Mexico
TRHGO433-10,Polycentropus aztecus_1[12]Mexico
TRHGO432-10,Polycentropus aztecus_1[12]Mexico
TRHGO408-10,Polycentropus aztecus_1[12]Mexico
TRHGO407-10,Polycentropus aztecus_1[12]Mexico
TRHGO406-10,Polycentropus aztecus_1[12]Mexico
NECAD243-08,Polycentropus aztecus_2[4]AZ
NECAD242-08,Polycentropus aztecus_2[4]AZ
NECAD240-08,Polycentropus aztecus_2[4]AZ
NECAD241-08,Polycentropus aztecus_2[4]AZ
TRHGO613-10,Polycentropus aztecus_3[2]Mexico
TRHGO095-10,Polycentropus aztecus_3[2]Mexico
TRHGO092-10,Polycentropus aztecus_4[1]Mexico
TRHGO094-10,Polycentropus aztecus_5[1]Mexico
KKUMN355-10,Polyplectropus mignonae_1[1]Costa Rica
UMNEA807-08,Dolophilodes distincta_1[1]TN
UMNEA751-08,Nyctiophylax nephophilus_1[9]NC|TN
SMCAD673-07,Nyctiophylax nephophilus_1[9]NC|TN
SMCAD672-07,Nyctiophylax nephophilus_1[9]NC|TN
SMCAD671-07,Nyctiophylax nephophilus_1[9]NC|TN
SMCAD591-07,Nyctiophylax nephophilus_1[9]NC|TN
KKCAD010-07,Nyctiophylax nephophilus_1[9]NC|TN
HIEPT029-09,Nyctiophylax nephophilus_1[9]NC|TN
SMCAD686-07,Nyctiophylax nephophilus_1[9]NC|TN
SMCAD685-07,Nyctiophylax nephophilus_1[9]NC|TN
PKCAD048-07,Nyctiophylax nephophilus_2[2]SC|VA
HIEPT037-09,Nyctiophylax nephophilus_2[2]SC|VA
UMNEB421-08,Nyctiophylax nephophilus_3[2]PA
UMNEB420-08,Nyctiophylax nephophilus_3[2]PA
SMCAD684-07,Nyctiophylax nephophilus_4[1]TN
PKCAD296-07,Nyctiophylax nephophilus_5[1]NC
UMNEA669-08,Nyctiophylax nephophilus_6[1]TN
PKCAD054-07,Nyctiophylax nephophilus_7[1]VA
OFXZT044-10,Austrotinodes quadrispina_1[3]Chile
OFXZT043-10,Austrotinodes quadrispina_1[3]Chile
OFXZT042-10,Austrotinodes quadrispina_1[3]Chile
NECAD317-08,Polyplectropus santiago_1[3]TX
NECAD316-08,Polyplectropus santiago_1[3]TX
NECAD315-08,Polyplectropus santiago_1[3]TX
NECAD314-08,Polyplectropus santiago_2[1]TX
MDA465-08,Cernotina spicata_1[1]VA
OFTRI323-10,Plectrocnemia OF sp. jpb_1[1]Japan
KKUMN344-10,Polycentropus volcanus_1[2]Costa Rica
KKUMN343-10,Polycentropus volcanus_1[2]Costa Rica
LTUT464-11,Ecnomus pilbarensis_1[1]Australia.Western Australia
LTUT251-11,Ecnomina_1[2]Australia.New South Wales
LTUT132-11,Ecnomina_1[2]Australia.New South Wales
