ProcessID,HaplotypeID
MPBZT005-09,Atopsyche XZ sp. BZ2_1[1]Brazil.Rio de Janeiro
MPBZT021-09,Atopsyche XZ sp. BZ1_1[1]Brazil.Minas Gerais
CNTLV113-09,Rhyacophila XZ sp. CN9_1[2]China.Yunnan
CNTLV002-09,Rhyacophila XZ sp. CN9_1[2]China.Yunnan
CNTLV001-09,Rhyacophila XZ sp. CN9_2[1]China.Yunnan
NZTRI233-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI229-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI228-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI227-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI222-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI220-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI216-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI215-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI211-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI208-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI206-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI201-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI190-10,Psilochorema donaldsoni_1[14]New Zealand
NZTRI184-10,Psilochorema donaldsoni_1[14]New Zealand
OFTRI102-10,Psilochorema donaldsoni_2[7]New Zealand
NZTRI224-10,Psilochorema donaldsoni_2[7]New Zealand
NZTRI221-10,Psilochorema donaldsoni_2[7]New Zealand
NZTRI212-10,Psilochorema donaldsoni_2[7]New Zealand
NZTRI210-10,Psilochorema donaldsoni_2[7]New Zealand
NZTRI209-10,Psilochorema donaldsoni_2[7]New Zealand
NZTRI181-10,Psilochorema donaldsoni_2[7]New Zealand
NZTRI218-10,Psilochorema donaldsoni_3[3]New Zealand
NZTRI231-10,Psilochorema donaldsoni_3[3]New Zealand
NZTRI219-10,Psilochorema donaldsoni_3[3]New Zealand
NZTRI217-10,Psilochorema donaldsoni_4[1]New Zealand
NZTRI232-10,Psilochorema donaldsoni_5[1]New Zealand
OFTRI103-10,Psilochorema donaldsoni_6[1]New Zealand
NZTRI213-10,Psilochorema donaldsoni_7[1]New Zealand
CAUTR078-09,Rhyacophila XZ sp. CN2_1[1]China.Liaoning
CAUTR079-09,Rhyacophila XZ sp. CN2_2[1]China.Liaoning
CAUTR077-09,Rhyacophila XZ sp. CN2_3[1]China.Liaoning
CAUTR080-09,Rhyacophila XZ sp. CN2_4[1]China.Liaoning
CAUTR076-09,Rhyacophila XZ sp. CN2_5[1]China.Liaoning
CNTLV117-09,Rhyacophila XZ sp. CN2_6[1]China.Yunnan
CNTLV116-09,Rhyacophila XZ sp. CN2_7[1]China.Yunnan
CNTLV114-09,Rhyacophila XZ sp. CN3_1[2]China.Yunnan
CNTLV094-09,Rhyacophila XZ sp. CN3_1[2]China.Yunnan
