ProcessID,HaplotypeID
GBMH0372-06,Cochliopsyche vasquezi_1[1]
KKUMN075-10,Helicopsyche pandeirosa_1[1]Brazil.Minas Gerais
HMCAD198-08,Sericostoma flavicorne_1[4]Austria
HMCAD201-08,Sericostoma flavicorne_1[4]Austria
HMCAD196-08,Sericostoma flavicorne_1[4]Austria
HMCAD197-08,Sericostoma flavicorne_1[4]Austria
HMKKT946-11,Sericostoma flavicorne_2[4]Austria
HMKKT180-10,Sericostoma flavicorne_2[4]Austria
HMCAD202-08,Sericostoma flavicorne_2[4]Austria
HMCAD200-08,Sericostoma flavicorne_2[4]Austria
HMKKT275-10,Sericostoma flavicorne_3[1]Austria
HMCAD199-08,Sericostoma flavicorne_4[1]Austria
OFCAD176-08,Helicopsyche mexicana_1[3]AZ
OFCAD178-08,Helicopsyche mexicana_1[3]AZ
OFCAD177-08,Helicopsyche mexicana_1[3]AZ
OFXZT219-10,Helicopsyche mexicana_2[2]Mexico
OFXZT218-10,Helicopsyche mexicana_2[2]Mexico
OFCAD179-08,Helicopsyche mexicana_3[1]AZ
OFCAD180-08,Helicopsyche mexicana_4[1]AZ
UMNEB332-08,Helicopsyche fistulata_1[1]Colombia
UMNEB351-08,Helicopsyche fistulata_2[1]Venezuela
HMTRI460-09,Ernodes vicinus_1[4]Austria|Germany|Italy
HMTRI171-08,Ernodes vicinus_1[4]Austria|Germany|Italy
HMKKT050-10,Ernodes vicinus_1[4]Austria|Germany|Italy
FBAQU353-09,Ernodes vicinus_1[4]Austria|Germany|Italy
HMKKT320-10,Ernodes vicinus_2[1]Austria
FBCAD016-10,Ernodes vicinus_3[1]Germany
HMTRI016-08,Ernodes vicinus_4[1]Austria
GBMH6324-09,Helicopha amieuensis_1[1]
GBMH2589-07,Helicopsyche cochleaetesta_1[1]
DRCAD136-09,Helicopsyche DR sp. 2_1[5]Mexico
DRCAD135-09,Helicopsyche DR sp. 2_1[5]Mexico
DRCAD134-09,Helicopsyche DR sp. 2_1[5]Mexico
DRCAD133-09,Helicopsyche DR sp. 2_1[5]Mexico
DRCAD132-09,Helicopsyche DR sp. 2_1[5]Mexico
DRCAD139-09,Helicopsyche DR sp. 3_1[3]Mexico
DRCAD138-09,Helicopsyche DR sp. 3_1[3]Mexico
DRCAD137-09,Helicopsyche DR sp. 3_1[3]Mexico
DRCAD131-09,Helicopsyche DR sp. 1_1[4]Mexico
DRCAD129-09,Helicopsyche DR sp. 1_1[4]Mexico
DRCAD128-09,Helicopsyche DR sp. 1_1[4]Mexico
DRCAD127-09,Helicopsyche DR sp. 1_1[4]Mexico
DRCAD130-09,Helicopsyche DR sp. 1_2[1]Mexico
GBMH6862-09,Conoesucus nepotulus_1[1]
DRCAD145-09,Helicopsyche DR sp. 4_1[6]Mexico
DRCAD144-09,Helicopsyche DR sp. 4_1[6]Mexico
DRCAD143-09,Helicopsyche DR sp. 4_1[6]Mexico
DRCAD142-09,Helicopsyche DR sp. 4_1[6]Mexico
DRCAD141-09,Helicopsyche DR sp. 4_1[6]Mexico
DRCAD140-09,Helicopsyche DR sp. 4_1[6]Mexico
GBMH0376-06,Pycnocentrodes sp. UMSP-New Zealand_1[1]
LTUT017-11,Caenota nemorosa_1[2]Australia.Queensland
LTUT013-11,Caenota nemorosa_1[2]Australia.Queensland
LTUT016-11,Caenota nemorosa_2[1]Australia.Queensland
LTUT015-11,Caenota nemorosa_3[1]Australia.Queensland
LTUT014-11,Caenota nemorosa_4[1]Australia.Queensland
OFTRI022-10,Confluens olingoides_1[2]New Zealand
OFTRI021-10,Confluens olingoides_1[2]New Zealand
KJCAD019-09,Confluens olingoides_2[1]New Zealand
GBMH2600-07,Confluens olingoides_3[1]
HMTRI403-09,Oecismus monedula_1[5]Austria|Czech Republic|Greece
HMKKT817-10,Oecismus monedula_1[5]Austria|Czech Republic|Greece
HMKKT805-10,Oecismus monedula_1[5]Austria|Czech Republic|Greece
HMKKT732-10,Oecismus monedula_1[5]Austria|Czech Republic|Greece
BHMKK163-12,Oecismus monedula_1[5]Austria|Czech Republic|Greece
UMNEO095-09,Cochliopsyche opalescens_1[1]Brazil.Minas Gerais
OFTRI056-10,Helicopsyche zealandica_1[1]New Zealand
LTUT717-12,Costora delora_1[3]Australia.New South Wales|Australia.Victoria
LTUT061-11,Costora delora_1[3]Australia.New South Wales|Australia.Victoria
LTUT058-11,Costora delora_1[3]Australia.New South Wales|Australia.Victoria
LTUT060-11,Costora delora_2[2]Australia.New South Wales
LTUT059-11,Costora delora_2[2]Australia.New South Wales
GBMH0375-06,Costora delora_3[1]
GBMH2581-07,Costora delora_4[1]
