ProcessID,HaplotypeID
HMCAD297-08,Limnocentropus himalayanus_1[1]Bhutan
AUCAD034-10,Tasimia XZ sp. AU1_1[1]Australia.Tasmania
KKCAD328-07,Barbarochthon brunneum_1[1]South Africa
LTUT321-11,Tasiagma_1[1]Australia.New South Wales
CBCAD185-10,Helicopsyche borealis_1[1]NS
KKUMN416-10,Sericostoma personatum_1[1]Spain
KJCAD012-09,Antipodoecia turneri_1[1]Australia.Queensland
SSTLR056-09,Molanna flavicornis_1[1]MB
KJCAD004-08,Tasimia drepana_1[1]Australia.Tasmania
KKCAD358-07,Hydrosalpinx sericea_1[1]South Africa
UMNEB628-08,Mystacopsyche longipilosa_1[1]Chile
KKCAD377-07,Trichovespula macrocera_1[1]Chile
UMNEB789-08,Trichovespula macrocera_2[1]Chile
KKUMN393-10,Trichovespula macrocera_3[1]Chile
OFXZT183-10,Microthremma patagonicum_1[1]Argentina
GBMH3826-08,Tasimia palpata_1[1]
GBMH3831-08,Tasimia palpata_2[1]
GBMH3836-08,Tasimia palpata_3[1]
GBMH3830-08,Tasimia palpata_4[1]
GBMH3825-08,Tasimia palpata_5[1]
GBMH3823-08,Tasimia palpata_6[1]
GBMH3824-08,Tasimia palpata_7[1]
GBMH3822-08,Tasimia palpata_8[1]
GBMH3834-08,Tasimia palpata_9[1]
GBMH3840-08,Tasimia palpata_10[1]
GBMH3828-08,Tasimia palpata_11[1]
GBMH3842-08,Tasimia palpata_12[1]
GBMH3835-08,Tasimia palpata_13[1]
GBMH3833-08,Tasimia palpata_14[1]
GBMH3841-08,Tasimia palpata_15[1]
GBMH3827-08,Tasimia palpata_16[1]
GBMH3829-08,Tasimia palpata_17[1]
GBMH3832-08,Tasimia palpata_18[1]
GBMH3837-08,Tasimia palpata_19[1]
GBMH3843-08,Tasimia palpata_20[1]
GBMH3838-08,Tasimia palpata_21[1]
GBMH3821-08,Tasimia palpata_22[1]
GBMH3839-08,Tasimia palpata_23[1]
GBMH4436-08,Tasimia palpata_24[1]
GBMH4435-08,Tasimia palpata_25[1]
GBMH4434-08,Tasimia palpata_26[1]
GBMH4433-08,Tasimia palpata_27[1]
GBMH4431-08,Tasimia palpata_28[1]
GBMH4432-08,Tasimia palpata_29[1]
GBMH4417-08,Tasimia palpata_30[1]
GBMH4420-08,Tasimia palpata_31[1]
GBMH4418-08,Tasimia palpata_32[1]
GBMH4413-08,Tasimia palpata_33[1]
GBMH4416-08,Tasimia palpata_34[1]
GBMH4415-08,Tasimia palpata_35[1]
GBMH4414-08,Tasimia palpata_36[1]
GBMH4419-08,Tasimia palpata_37[1]
GBMH4437-08,Tasimia palpata_38[1]
GBMH4438-08,Tasimia palpata_39[1]
GBMH4424-08,Tasimia palpata_40[1]
GBMH4429-08,Tasimia palpata_41[1]
GBMH4428-08,Tasimia palpata_42[1]
GBMH4425-08,Tasimia palpata_43[1]
GBMH4423-08,Tasimia palpata_44[1]
GBMH4427-08,Tasimia palpata_45[1]
GBMH4422-08,Tasimia palpata_46[1]
GBMH4426-08,Tasimia palpata_47[1]
GBMH4421-08,Tasimia palpata_48[1]
GBMH4430-08,Tasimia palpata_49[1]
KKCAD366-07,Petrothrincus triangularis_1[1]South Africa
LTUT106-11,Tasimia_1[1]Australia.New South Wales
LTUT100-11,Tasimia_2[1]Australia.New South Wales
KKUMN015-10,Banyallarga vicaria_1[1]Colombia
LTUT105-11,Tasimia spAV1_1[2]Australia.New South Wales
LTUT101-11,Tasimia spAV1_1[2]Australia.New South Wales
LTUT104-11,Tasimia spAV1_2[1]Australia.New South Wales
OFTRI028-10,Pycnocentria funerea_1[1]New Zealand
AVMTT038-09,Leptocerus americanus_1[1]QC
KJCAD005-08,Caloca saneva_1[1]Australia.Tasmania
NBTRI744-08,Psilotreta indecisa_1[1]NB
OFTRI015-10,Chathamia integripennis_1[1]New Zealand
KKUMN019-10,Contulma spinosa_1[1]Ecuador
LTUT103-11,Tasimiidae_1[1]Australia.New South Wales
LTUT341-11,Tasimia sp. AV1_1[1]Australia.New South Wales
HMCAD624-09,Beraea maura_1[1]Italy
LTUT006-11,Atriplectides ikmaleus_1[1]Australia.Queensland
KKCAD361-07,Tasimia denticulata_1[1]Australia.Australian Capital Territory
